tongue: niŋgɔ́ːdɔ
tooth: íːni
tooth: t̪íŋíni
tree: k˗aːdí
tree: nde˗aːdí
turn: hú\ɗá
two: kaːrá
vomit: ɔ́hɔ
walk: úŋgaːnɛ
walk: yɔgɔ́
warm: elálá
wash: ewáːna
water: ɓíːd̪í
water: biθi
water: gɪṭarɛ
water: sɛ [kamdang]
we (excl.): ˗ami
we (excl.): ɔŋɔ
we (excl.): ɔŋɔ
we (incl.): ˗ama
we (incl.): ˗ama
we (incl.): aŋa
we (incl.): aŋa
wet: ɪ́ːla
what: mina
when: áːda
where: kaːgá
white: ahíːru
who: bid̪á
wide: aduha̪ːla
wife: néá
wind: t̪iɲá
wing: kɪ˗sawa
wing: mɪ́˗sawa
wipe: imbí
woman: n˗éá
wood: ɓala
wood: ke˗ala
worm: t̪ɪŋ(g)˗aɗinɔ
year: t̪isɛ́
