all: yëkïvarë
long: cïpïpë
long: cïvïrë
louse: ɲəkʌ
louse: këmalï
louse: kʌmalə
louse: nyïkë
man: dwë
man: dwë
man: ndwʌ
man: ndwʌ
many: kavwayk
many: kaɣwayk
many: madïkng
many: mandəkŋ
meat: kwamwi
meat: kwamwi
meat: kwamwy
meat: kwamyʌ
meat: kwamyë
meat: kwamyë
moon: bwapwë
moon: bwavwë
moon: mbwapwʌ
moon: mbwaɣwʌ
moon: pwëbwë
mosquito: kyʌ
mosquito: kyë
mosquito: məkycə
mosquito: mïkicï
mother: nwʌ
mother: nwʌ
mother: nwë
mother: nwë
mountain: cək
mountain: cïk
mountain: nəmbw
mountain: nïbwë
mouth: këbëkë
name: cə
name: cə
name: cï
name: cï
name: cï
nape: kwbwë mak
nape: kwbwë yapë
nape: kwbwʌ mak
nape: kwbwʌ yapʌ
navel: ari
navel: ary
navel: wpwp
navel: wpwp
near: kaɣʌkʌ
near: kapwʌmbwʌ
neck: kwʌbwy yambə
neck: kwëbwi yabï
neck: nək
neck: nïk
new: kagalï
new: kagalï
new: kaŋgalə
new: kaŋgalə
night: ŋgan
night: ŋgan
nose: sama
nose: tamë
nose: tamwë
not: kayʌ
not: kayë
not: mapm
not: mapm
old: ɣarə
old: cəkwʌ
old: cïkwë
old: dwëytdë dwë
old: fary dwʌ
old: fary dwë
old: ndwʌytndʌ ndwʌ
old: varï
one: napʌ
one: napë
one: napë
one: yëkwarïk
one: yëkwarïk
one: yʌkwarək
other: kavyëk
other: kaɣyʌk
pull: aran
pull: lərakaryʌ
pull: lïrakaryë
pull: rakarə
pull: rakarï
push: kacalʌ
push: kacalë
push: wakukwë
push: wakwkwʌ
rain: mac
rain: macɲ
rain: macny
rain: macny
rain: mayk
rain: mayk
red: win
red: win-dï
red: wyn
red: wyndə
right: ndwʌ twʌ
right: yakylə twʌ tambʌ
ripe: nəkŋwʌ
ripe: nəkwʌ
ripe: nïkngwë
ripe: nïkwë
road: yabï
road: yabï
road: yambə
road: yambə
root: mi pïrïgi
root: my pərəŋgy
root: pərəŋgy
root: pïrïgi
rope: bagwyë
rope: kəpə
rope: kïpï
rope: mbaŋgwyʌ
rotten: byëkëk
rotten: mbyʌkʌk
rotten: nukwë
rotten: nwkwʌ
salt: kwik
salt: kwipm
salt: kwyk
salt: kwypm
sand: atʌwyʌ
sand: ayë
sand: ayʌə
sand: kwəcʌ
