blood: ɔgù
fire: ɟíè
he/she: bɛ́r
he/she: bɛ́r
he/she: oto
he/she: oto
I: aái
I: aydi
I: ei
moon: ɔrdɔ́ːi
one: nɔkɔ̀ːi
one: nɔkɔ̀ːi
sun: ɛdɔː
they: bɛr
they: oto
thou: na
thou: na
thou: naːdi
thou: noadi
thou: nou
thou: noːw
three: wuaː
three: wuaː
tongue: tʌmsi
tooth: mʌrgí
two: suíː
two: suíː
water: bí
we: toːgɔ̀i
we: togweydi
we: tou
