ashes: yir
bad: e-chai
blood: tei
child: e-tire
child: u-thire
eye: therulu
far: era-lobun
father: -amai
good: e-nol
head: ot-cho
he/she: d-
he/she: io
he/she: ø-
I: t(h)-
I: th-
I: thio
I: t-io
long: e-lobun
long: lobung
meat: e-tomo
meat: e-tomo
night: bat
not: -pho-
not: -phu-
old: ècakhamo
old: èphowa
sit: ònyò
snake: chubi
stone: meo
there: kule-l
they: (du-)n-
they: n-io
thou: n-
thou: ng-io
thou: n-io
water: ino
we: men-
we: m-io
you: ng-il-io
