and: baru
mosquito: kikibíno
mosquito: tibimalo
mother: yae
mother: yae
mountain: keini
mountain: keini
mountain: tilio
mountain: tiro
mountain: tiro
mouth: anggane
mouth: etado
mouth: etadomo
mouth: etado-mo
mouth: naŋgane
mouth: otato
name: anai
name: anai
name: anaia
name: anaide
name: anaide
navel: notae
navel: notáe
neck: j-otatajo
neck: otata
new: boiti
new: boiti
new: boitia
new: boituma
new: boyti
new: bóyti
night: ewate
night: ewate
night: ititia
night: parierea
night: patieleo
night: patierea
nose: eyala
nose: eyara
nose: índare
not: anda
not: andá
not: menai
not: menai
old: togoy
old: togoy
one: onate
one: onate
one: onati
one: onatia
one: onati(a)
person: danet
person: dánet/dambándo
rain: manina
rain: mánina
rain: ulagaya
rain: urángge
rain: uraŋge
rat: erebene
red: mukulia
red: mukuro
red: múkuro
river: eyabe
river: eyábe
road: ami
road: morai
road: moroi
road: moroi
road: omoi
road: (t)arate
root: ogato
root: ogato
root: ogatu
root: udaraya
root: utaro(-mo)
root: utaro(mo)
rope: akur
rope: warate
sand: kanebaka
sand: kebara
sand: kebara
sand: kindai
sand: kindái
sand: mutao
sand: rebini
sand: rebini
sea: daŋgamo
sea: tawake
sea: tawáke
seed: benai
seed: bunai
see: ete-
see: ete-
see: ete-ai
see: iti-
see: iti-me
short: bukumi
short: búkumi
sister: nan kedeno
sister: nán kedéno
sit: amu-
sit: amu-
sit: amu-
sit: amuba
sit: naume
sit: naume
sit: romu-
sit: romu-
skin: aginan-akai
skin: akai
skin: akai
skin: akan
skin: akán(i)
skin: iagina
skin: (yogina-)akai
sky: amanabe
sky: amanábe
sleep: emág
sleep: kikíba-
sleep: na-
sleep: na-
sleep: namname
sleep: purai
sleep: purai
small: takonia
small: tokuni
small: tokuni(a)
small: waratibi
small: wáratibí
smoke: kukubi
smoke: kukubia
smoke: kukubia
smoke: orotano
smoke: orotáno
snake: gedi
snake: gedi
snake: gedo
snake: kamano
snake: yedege
snake: yedége
spit: dondona-
stand: ide-
stand: ide-
stand: idi-
stand: idi-
star: anakai
star: anatai
star: anatai
star: tulubia
star: turubi
stone: uleku
stone: urek
stone: ureko
stone: ureko
stone: ureko
straight: rembitotoy
sun: egedi
sun: itain
sun: itaine
sun: itaine
sun: itaine
sun: itane
sun: tainela
swim: ayae
swim: debe-
swim: debe-
swim: debe-
swim: kuku-
swim: kuku-
tail: eroai
tail: eroai
tail: urukae
tail: urukáe
tail: uruke
that: mago
that: mago
that: mu
that: uma
that: uma
there: umeage
there: uméage
they: igama
they: igaomo
thigh: nakebina
thigh: ná-kebiná
this: momo
this: mu
this: nia
this: nia
this: ogá
this: uga
thorn: bigobo
thou: aiga
thou: ai-ga
thou: ai-ga
thou: andi
thou: á-ndi
thou: andigo
thou: aygo
thou: áy-go
thou: edi
thou: umogo
thou: yaygo
thou: yendi
three: alia
three: aria
three: aria
three: aroy
three: aróy
throat: notatu
throat: n-otátu
throat: yotata
throat: y-otata
thunder: eke-
thunder: eke-
tomorrow: woyda
tomorrow: wóyda (?)
tongue: enini
tongue: enini
tongue: enini
tongue: na-anúne
tongue: naːnune
