finger: ma-këla-këla
finger: ma-këla-këla
finger: mɛ gera gera
finger: me kala-kala
finger: më-kë-këra
finger: memau
finger: më-mav
finger: më qëla-qëla
fingernail: me-mengkai
fingernail: məŋgai
fingernail: mënggei
fingernail: meŋgeni
fingernail: me-ngkei
fingernail: më-ngkei
fingernail: më-ngkëi
fingernail: oro menggei
finger: (oro) këla-këla = "foot-digit
finger: oto kë-këra
fire: i
fire: i
fire: i
fire: i
fire: i
fire: i
fish: ka
fish: ka
fish: ka
fish: ka
fish: kaː
fish: pa
fish: qa
five: mähä(mbai)
five: mehembai
five: mëhëmbai
five: mëhëmbai
five: mëpëmbai
float: yai-ǯai
fly (n.): bento
fly (n.): pendo
fly (n.): pen(g)so
fly (v.): naɣəi-
fly (v.): naghëi-
foot: odo
foot: odo
foot: ottofɛ
forehead: fëli
forehead: fëli
forehead: fëli
forehead: furri
forest: akela
forest: akëla(-nolo)
forest: aqëla
forest: ëbungfau
forest: na
four: gurri
four: këli
four: këli
four: kəli
four: këri
fruit: ani
fruit: ani
fruit: ani
fruit: ani
full: mä-mä
full: mä-mä
full: nena
full: nenë
full: nenëne
full: udeboge
full: wadeboke
full: wande
full: wande
girl: meŋge
give: amba
give: ye
give: ye
give: yei
give: yei
give: ye-i-nyë
good: faia
good: foi
good: foi
good: foi
good: foy
good: nemeka
good: poi
good: wa
grass: eku
grass: kë
grass: kë
grass: kə
grass: uda
grass: uk(w)a
grass: uqa
green: apenensi
green: (bu)bebe
green: bubengbengma
green: bubenibem
green: ofama
green: ofeapu
green: ofeninehinehi
green: wembe
guts: kabie
hair: mɑ
hair: mua
hair: u-ibe
hair: uiwe
hair: uma
hair: uma
hair: uma
hair: uma
hair: unima
hair: (u-)yebe
hair: yebe
hand: fe
hand: me
hand: më
hand: më
hand: mə
hand: mëfe
hand: mëfe
hand: mefɛ
hand: mɛgerʌ gera
hand: me(pe)
head: falëm
head: falëm
head: faːrem (paːnem)
head: fələm
head: jum
head: jum
head: jung
head: yum
head: yung
head: yung
head: yung-ew
hear: bodo-i
hear: botoi-
hear: podoi-
hear: podoi-
hear: poroi-poroi
hear: poroi-poroi
heavy: ëhë
heavy: ëhë
heavy: ëtë
heavy: həɣai
heavy: hëghai
heel: oro-sëxalu
here: mana
here: mana
here: mana
here: mana
he/she: deya
he/she: neyä
he/she: nəyä ~ neyä
he/she: neye
he/she: neye
hit: habë-i
hit: habë-i
hit: wë-i
hit: wë-i
hold: qoluwë-i-nyë
hole: bulu
hole: pulu
hole: pulu
house: falə
house: falë (ø
house: hut)
house: imä
house: imae
house: ime
house: ime
house: ime
house: ime
house: iyme
house: maloyme
house: obe
house: ongko
husband: doh (torre)
husband: molo
husband: wa-molo
I: deya
I: deye
I: deye
I: dëyë
I: dəyə ~ reyae
I: diya
in: ëi-nya
I: riyä
I: teyë
kill: ho-i(-bo)
kill: ho-i(-ko)
kill: karoguwai
knee: odo-hele
knee: odo hëlë
knee: odo-xre
knee: oro-selem
knee: oro-sëleng
knee: oto-t(e)reng
knee: reːheːre
know: neiǯɛ
laugh: rë-
laugh: rə-
laugh: te
leaf: be
leaf: fä
leaf: fä
leaf: fe
leaf: fe(a)
leaf: fe ~ fä
leaf: ofɛ
left: më li
left: məli
leg: (day) odo
leg: odo
leg: odo
leg: oro
leg: oro
leg: oro
leg: orrʌ
leg: oto
lie: honoi-sonoi
lie: honoi-sonoi
lightning: wangwang
lightning: wili
lightning: wili
lightning: wiri
lightning: wiri ~ wili
lip: ëuwa bonäi
lip: ëuwa bonei
lip: ëuwa bonei
lip: ëuwa bonei
lip: ewgwa-poney
lip: heuyaː bene
live: wali
live: wali
