white: kpaŋ kpaŋ
who: mo\
who: moʔ
wind: gbiŋ
wind: gbiŋ
wind: gbiŋ
wind: mângung
wind: mɔŋuŋ
wing: gbewâ-
wing: gbewɔ
wing: toʔ
wing: toʔ
wing: toʔ
woman: ngigok
woman: ŋigok
wood: gbaru
worm: gbɔsu
yellow: bobongeng
yellow: boboŋeŋ
you: ngongai
