all: όλα
and: και
animal: ζώο
ashes: στάχτες
at: στο
back: πλάτη
bad: κακό
bark: φλοιός
because: επειδή
belly: κοιλιά
big: μεγάλο
bird: πουλί
bite: δαγκώνω
black: μαύρο
blood: αίμα
blow: φυσάω
bone: κόκκαλο
breast: στήθος
breathe: αναπνέω
burn: καίω
child: παιδί
cloud: σύννεφο
cold: κρύο
come: έρχομαι
correct: σωστό
count: μετράω
cut: κόβω
day: μέρα
die: πεθαίνω
dig: σκάβω
dirty: βρώμικο
dog: σκύλος
drink: πίνω
dry: στεγνό
dull: στομωμένο
dust: σκόνη
earth: γη
ear: αφτί
eat: τρώω
egg: αυγό
eye: μάτι
fall: πέφτω
far: μακρυά
father: πατέρας
fat (n.): λίπος
fear: φοβάμαι
feather: φτερό
few: λίγα
fight: πολεμώ
fingernail: νύχι
fire: φωτιά
fish: ψάρι
five: πέντε
float: επιπλέω
flower: λουλούδι
flow: ρέω
fly (v.): πετάω
fog: ομίχλη
foot: πόδι
forest: δάσος
four: τέσσερα
freeze: παγώνω
fruit: φρούτο
full: γεμάτο
give: δίνω
good: καλό
grass: γρασίδι
green: πράσινο
guts: εντόσθια
hair: τρίχα
hand: χέρι
head: κεφάλι
heart: καρδιά
hear: ακούω
heavy: βαρύ
here: εδώ
he: αυτός
hit: χτυπάω
hold: κρατώ
horn: κέρατο
how: πώς
hunt: κυνηγώ
husband: σύζυγος
ice: πάγος
if: αν
in: μέσα
I: εγώ
kill: σκοτώνω
knee: γόνατο
know: ξέρω
lake: λίμνη
laugh: γελάω
leaf: φύλλο
left: αριστερά
leg: πόδι
lie: ξαπλώνω
liver: συκώτι
live: ζω
long: μακρύ
louse: ψείρα
many: πολλά
man: άντρας
meat: κρέας
moon: φεγγάρι
mother: μητέρα
mountain: βουνό
mouth: στόμα
name: όνομα
narrow: στενό
near: κοντά
neck: λαιμός
new: καινούριο
night: νύχτα
nose: μύτη
not: δεν
old: παλιό
one: ένα
other: άλλα
person: άνθρωπος
play: παίζω
pull: τραβάω
push: σπρώχνω
rain: βροχή
red: κόκκινο
right: δεξιά
river: ποτάμι
road: δρόμος
root: ρίζα
rope: σχοινί
rotten: σάπιο
round: στρογγυλό
rub: τρίβω
salt: αλάτι
sand: άμμος
say: λέω
scratch: ξύνω
sea: θάλασσα
seed: σπόρος
see: βλέπω
sew: ράβω
sharp: κοφτερό
short: κοντό
sing: τραγουδάω
sit: κάθομαι
skin: δέρμα
sky: ουρανός
sleep: κοιμάμαι
small: μικρό
smell: μυρίζω
smoke: καπνός
smooth: λείο
snake: φίδι
snow: χιόνι
some: μερικά
spit: φτύνω
split: χωρίζω
squeeze: ζουλάω
stab: μαχαιρώνω
stand: στέκομαι
star: αστέρι
stick: ραβδί
stone: πέτρα
straight: ίσιο
suck: ρουφάω
sun: ήλιος
swell: πρήζομαι
swim: κολυμπώ
tail: ουρά
that: εκείνο
there: εκεί
they: αυτοί
thick: χοντρό
think: σκέφτομαι
thin: λεπτό
this: αυτό
thou: εσύ
three: τρία
throw: πετάω
tie: δένω
tongue: γλώσσα
tooth: δόντι
tree: δέντρο
turn: γυρίζω
two: δύο
vomit: ξερνάω
walk: περπατάω
warm: ζεστό
wash: πλένω
water: νερό
wet: υγρό
we: εμείς
what: τι
when: πότε
where: πού
white: άσπρο
who: ποιος
wide: πλατύ
wife: σύζυγος
wind: άνεμος
wing: φτερό
wipe: σκουπίζω
with: με
woman: γυναίκα
worm: σκουλήκι
year: χρόνος
yellow: κίτρινο
you: εσείς
