head: ŋawo
head: ŋawo
head: ŋawu
hear: -utungu
hear: -utungu
hear: -utungu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
hear: wutuŋu
heavy: mai
heavy: mai
heavy: mai
heavy: mai
heavy: mai
heavy: maih
heavy: maih
heavy: maiye
heavy: mai(ye)
here: mo
here: mu\(di)
here: muhdi
here: mundi
he/she: keghi
he/she: keɣi
he/she: n-
he/she: n-
he/she: n-
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: ni
he/she: w-
hit: ba\ …-ad
hit: yengg
house: bajh
house: bajh
house: bajh
house: baǯ
house: baǯ
house: baǯ
house: baǯ
house: baǯ
house: nyonggo
house: ɲoŋgo
I: ch-
I: g-
I: jh-
I: k-
I: nge
I: nge
I: ŋe
I: ŋe
I: ŋe
I: ŋe
I: ŋe
I: ŋeßi
I: nge-vi
in: wabe
in: wabe
in: wuyi
laugh: wu na
laugh: wure na\
laugh: wure naʔ
laugh: wure naʔ
laugh: wur(u) na
laugh: wuru na
laugh: wuru na
laugh: wuru na\
laugh: wuru naʔ
leaf: mane
leaf: mane
leaf: njhau
leaf: nǯau
leaf: ra
leaf: ra
leaf: ra\e
leaf: raʔe
leaf: raʔe
leaf: raʔe
leaf: yam
leaf: yem
left: a
left: ʔa
left: ʔa
left: ʔaʔa
left: a\a
left: \a\i
left: ʔaʔi
left: ʔaßi
left: avi
left: tengg-a\i
left: teŋgaʔi
leg: ɲiŋga
leg: ɲiŋga
leg: ɲiŋge
leg: ɲiŋge
leg: ɲiŋge
leg: mangge
leg: maŋge
leg: mihu
leg: mitu
leg: mityu
leg: nyingga
leg: nyingge
leg: nyingge
leg: rimtu
lie: aha
lie: ase
lie: ate
lightning: fris
lightning: pric
lightning: prih
lightning: prih
lightning: prit
lightning: prit(y)
lightning: φris
lightning: φris
lightning: φris
long: dobwi
long: dobwi
long: dobwi
long: dobwi
long: dobwi
long: dobwi
long: dobwi
long: dobwi
long: dobwi
louse: (ï)mbiski
louse: mbic
louse: mbic
louse: mbiski
louse: mbiski
louse: ɨmbiski
louse: mbity
louse: pinjhi
louse: pinǯi
louse: φinǯi
man: waiyi
man: waiyi
man: waiyi
man: waiyi
man: ʔwaiyi
man: ʔwaiyi
man: ʔwaiyi
man: ʔwaiyi
man: ʔwaiyi
man: ʔwaiyi
many: wan
many: wan
many: wan
many: wan
many: ʔwan
many: ʔwan
many: ʔwan
many: ʔwan
many: ʔwan
meat: mbuč
meat: mbuč
meat: mbuch
meat: umo
meat: umo
meat: umo
meat: umo
meat: ʔumo
meat: ʔumo
meat: ʔumo
moon: ɣaŋgu
moon: ɣaŋgu
moon: ɣaŋgu
moon: ghanggu
moon: ghanggu
moon: ieu
moon: ieu
moon: ireo
moon: ireo
moon: ireo
moon: ireo
moon: mingg
moon: miŋg
morning: bur\ane
morning: bur\ane
morning: burʔane
morning: burʔane
morning: burʔane
morning: burʔane
morning: burʔane
morning: yamb
morning: yamb
mother: kumo
mother: kumo
mother: kumo
mother: kumo
mother: kumo
mother: kumo
mother: kumo/maiye
mother: kumo/mawo
mother: kumo/mo(i)yu
mother: maiye
mother: maiye
mother: maiye
mother: maiye
mother: mawo
mother: moiyu
mother: moyu
mountain: rand
mountain: rand
mountain: rand
mountain: rand
mountain: rand
mountain: randi
mountain: randi
mountain: randiɣ
mountain: rand(igh)
mouth: kowi
mouth: kwowi
mouth: k(w)owi
mouth: mïm
mouth: mïm
mouth: mɨm
mouth: mɨm
mouth: mɨm
mouth: mɨm
mouth: mɨm
name: ɲamb
name: ɲamb
name: ɲamb
name: ɲamb
name: ɲamb
name: ɲambu
name: nyamb
name: nyamb
name: nyamb(u)
nape: mintengk
nape: minteŋk
nape: numbut
nape: numbut
nape: numbut
nape: rohu
nape: rohu
nape: sumbut
nape: sumbut
nape: sumbut
new: tineye
new: tin(g)eye
new: tiŋeye
new: urufwi
new: uruhwi
new: uruhwi
new: uruφwi
new: ʔuruφwi
new: ʔuruφwi
night: bur
night: bur
night: bur
night: bur
night: bur
night: bur
night: bur
night: wunggi
night: wuŋgi
nose: kïme
nose: kïme
nose: kïme
not: ghini
not: hagi
not: hagi
not: ɣini
not: ɣini
not: segi
not: segi
not: segyi
not: seg(y)i
old: gang
old: gang
old: gaŋ
old: gaŋ
old: gaŋ
old: gaŋ
old: gaŋ
old: ɲiφi
old: ɲiφi
old: ɲiφii
old: merimbo
old: merimbo
old: nyifi
old: nyifi
old: wuri
old: wuri
old: wuri
old: wuri(\i)
old: wuriʔi
