belly: ɟuni
blood: yilgu
bone: darga
come: ya-
dog: nulɟu
eye: guṛu
fire: waɹ̣u
fly (n.): ŋurin
give: yu-
head: gada
head: miläl
hear: guwanda-
kangaroo: maɟiri
man: wad̪i
man: waḍi
moon: baɲal
moon: rogaŋga
mouth: yira
say: waŋga-
see: ɲa-
sit: ɲina-
smoke: buyu
smoke: ŋunɟur
snake: waḍawaḍara
stand: nari-
sun: banal
take: ma-
tongue: ŋalana
walk: ya-
water: gaʎu
woman: duɟu
