know: -marbu
know: marbuy
lake: ŋalba
lake: ŋalba
lake: wurugu
lake: wuɹ̣ugu
lake: wuɹ̣ugu
laugh: -ŋarma-
laugh: ŋarma-
leaf: wuɟiyar
leaf: -yir-
left: balaɟagu
left: baṇḍäyägu
left: maŋaṇḍayayagu
leg: ɟaŋgal
leg: d̪albar
leg: l̪uganda
leg: manda
leg: maŋgu
lie: muɲmul̪a-
lie: murgul̪a-
lie: ŋamurgulaŋa
lie: waḷarl̪a-
lightning: -mara-wadɟa-
lightning: mind̪a-
lightning: yaminɟi
lip: lagula
lip: l̪aguḷa
liver: amaṇ
liver: amaṇ
live: -wiri-
long: ɟɛrmamaiɟ
long: l̪aːḷun
long: l̪aːḷun
long: -ŋaːr-
long: -ŋaːr-
long: wobaniyuŋgaid\
long: yarmayarmaɟ
long: yarmayarmaɟ
louse: bulbulug
louse: miːɟ
louse: miɹ̣ar
louse: muṇḍig
louse: muṇḍig
louse: muṇḍin
man: miɲŋuyuŋ
man: nawalyiɲu
man: waḷya
man: waḷya
many: arawindi
many: d̪aːlun
many: gamuyu
many: warawindi
meat: l̪aŋgu
meat: l̪aŋgu
meat: lawuŋgu
meat: warigulag
moon: labama
moon: ḷabama
moon: ŋaḷindi
morning: ḷaḷma-
morning: malga-
morning: ŋamu(giɟ)
morning: ŋamugiɟgaɟ
morning: wulaḷmain
mosquito: miliwin
mosquito: mula
mosquito: muḷa
mother: ŋariːgaŋ
mountain: nugwa
mountain: nugwa ruŋgwal
mouth: ɹ̣amad̪an
mouth: ṛamadan
name: -miɟ-
name: muwaɟ
name: (nani)muwaiɟu
nape: nind̪agal
nape: nindagar
navel: mala
navel: mala
near: ɟɨːbug
near: waṛubaiɟ
near: waɹ̣ubaɟ
neck: aḷwag
neck: maɟaguruŋ
neck: nindagan
new: -agaḍu
new: gad̪uwa
night: miɲŋu
night: wuːn
not: waː-ɹ̣i
not: waːṛi
not: yagi
old: ɟawulba
old: bugag
old: miɟiwaŋgu
old: ŋaiɟiwaŋgu
old: ŋaɟiwaŋgu
old: nuŋguḍaːba
old: wugag
old: yiwaŋgu
one: aɲɟaːbugiɟ
one: aɟabuŋiɟ
one: ɹ̣adaɹ̣adag
one: maḷaːmar
other: aɲbaɟ
other: argi
other: argi
other: waḷgaḷ
person: nawalyingu
person: wuruɟ
play: ḷirbi-ma-
play: maḷirimayi-
play: ŋaŋgai\igin
play: wayi(ɟ)gi-
pull: argi-
push: ɟuɹ̣a-
push: ɟu(r)ɟurgi-
rain: aṇbana
rain: anbaṇa
rain: -wara-ɹ̣abi-
rat: l̪uḍiɲ
rat: luḍin
red: bumaḍa
red: l̪uni
red: -ŋwalŋabi
right: manɟu
right: wala
right: walawalamag
ripe: l̪aɹ̣aŋ
ripe: -laraŋ
river: ala
river: ala
river: alawiri
river: -ḷami
river: maɟiɟ
river: waṇḍa
road: adi
road: l̪aḷagar
road: manaːdi
road: muːn
root: -ɟaŋ-
root: -l̪amulŋ-
root: wugubaːṇḍa
rope: mabur
rope: ŋaḍugu
rope: ŋaḍugu-
rotten: d̪adulg
rotten: -l̪uruŋ-
rotten: nunulg
rotten: wuɹ̣il
rotten: wu-ril
rub: miɹ̣a-
rub: ŋa-wiyudi
rub: waḷa-
salt: l̪aŋanig
sand: magabaŋ
sand: maŋaɹ̣ag
sand: maŋarag
say: l̪aːwu
say: yama-
say: -yamba-
say: yambi-
say: yaːŋ
scratch: aḷa-
scratch: -diga-
scratch: l̪irida-
scratch: ɹ̣uɟa-
scratch: yirwuda-
sea: ɹ̣ad̪arara-
sea: ɹ̣aŋarma-
sea: l̪agayag
sea: madowa
sea: marmanarma-
sea: -ṛaguni-
seed: -ɹ̣al-
seed: -mundarg-
seed: wuŋumbagalag
see: -na-
see: na-
see: waraŋga-
sew: warga-
sharp: maɹ̣agar(i)ɟ
sharp: maḷgura
sharp: wiinɟin
short: damungur
short: d̪amungur
short: d̪amurug
shoulder: maḷibi
shoulder: mɔːṇ (?) (ɲalaɟ)
shoulder: muːṇ
shoulder: nind̪agal
shoulder: wargu
shoulder: yalŋaṇ
sing: maya-
sing: -meya
sister: muruyuŋ
sister: muɲuɲuŋ
sister: ŋamuriyu
sister: ŋamuriyu
sit: -bura-
sit: bura-
skin: laŋgu
skin: maguḷag
skin: -magulagmani
sky: -mala-
sky: -malg-
sky: wulambawilin
sleep: miɲŋaŋa
sleep: -murgula
sleep: yi-
small: wirig
small: wiriɲu
smell: -wiyarŋa
smoke: -ban-
