hand: orwa-tara
hand: orwa-tara
head: hengguvu
head: k-engguwu
head: n-enggevu
head: neŋguvu
head: ungubu
hear: evia
hear: ewiye
heavy: asomo
heavy: asomu
heel: ne\oro-oi
here: ejhabo
he/she: inai
he/she: nai
he/she: nina
he/she: nini
hole: no\u
house: ueso
house: weso
house: weso
how: infani
husband: umo
I: omo
I: o-mo
I: o-mo
knee: ke-wanboro
knee: ne-oaemboro
leaf: iwo-aere
leaf: nere
leg: o\oro
leg: oʔoro
lightning: muere
lightning: mujhere
lip: ne-mbiara
lip: ne-mbiara
live: nar\ari
live: nerari
long: anggana
louse: umai
louse: umai
louse: umai
man: ja\anou-tatobo
man: ofo
man: ofo
man: satowo
man: tatobo-owo
man: tatovo
man: tatovo
many: ondo
many: ondo
meat: sasi
meat: sasi
meat: sasi
moon: u(n)sira
moon: usira
morning: saguete
morning: sakuete
mosquito: simbo\a
mosquito: simboo
mother: ba\ina
mountain: asnao
mountain: asnau
mouth: (ne)m\ara
mouth: (ne)mʔara
mouth: ne-mara
mouth: onjhamorro
name: negwata
name: negwata
name: negwata
navel: nendumu
near: avia
near: soisin
neck: matu
neck: matu-onnawerro
neck: oŋgaruga
neck: ongga-ru(n)gu
neck: onggo
neck: oŋgo
new: ao
new: ao
new: sou
new: tetnei\a
night: wei
night: wei-ɟemi
night: wei-jemi
nose: embi
nose: embi
nose: ombi-nembwan
old: anawete
old: jhaan.?.re
old: nimu
one: taŋgau
one: tangggau
one: tangggau
person: ja\anou
person: jhaanou
rain: ɟamu
rain: idjamu
rain: j(h)amu
rat: isisi
rat: sorei
red: susu
red: susu
right: negu\ania
ripe: uavara
ripe: wawara
river: fata-\aroro
river: fat-unda
road: ae
road: ae
road: ite
road: ite
root: iwo-fara
root: nepdjewi
rope: aía
sand: firi
sand: firi
sand: firi
say: atona!
say: fariri!
sea: awurnamba
seed: atu
see: onom-
see: onom-
see: otomo
see: otomo-
see: tadjara
see: tadyara
see: tadyara
short: aituu
short: aitu\u
shoulder: neu\ëngguhur
sing: sepano!
sit: amori
sit: jobnari
sit: jofnare
sit: ɟofnare
skin: n-ai\a
skin: n-aiʔa
skin: nei\aere
skin: oreija
sky: singgyawi
sky: sinyawi
sleep: evaguene
sleep: tebi-
sleep: tebi-
small: naiwo
small: njainjaiwo
smoke: anene
smoke: anene
snake: ambere
snake: ambere
sour: nemiaruo
sour: nemiasua
spit: nerimba
spit: nerimbi
spit: tuafa
stand: isai
stand: yambiri
stand: yambiri
star: demburia
star: umburia
stone: ɟavutu
stone: djawutu
stone: javutu
stone: vawutu
sun: tendal
sun: tende
sun: tende
sun: tende
sweet: ivi
sweet: iwi
swim: upana
swim: uvwase
tail: na-b\atu
tail: namnasuru
tail: navatu
tail: na-vatu
tail: ne-patu
that: fomo
they: ni\i
thigh: ne-matu
thigh: ne-matu
this: jamu
thou: ʔeme
thou: ka-
thou: neme
thou: ne-me
thou: ne-me
three: aria
three: aria
three: aria
thunder: singguru
thunder: singguru
today: ejabo-aras
today: sejabu
tomorrow: oana
tomorrow: oano
tongue: nensawi\a
tongue: (n)esafi\a
tongue: (n)esafiʔa
tongue: nesawia
tooth: nerasi
tooth: n-erasi
tooth: n-erasi
tree: iwo
tree: iwo
tree: iwo
two: amoi
two: amoi
two: amui
two: anai
vagina: nemu
walk: asto
walk: asto-
walk: itai!
walk: menduvo
walk: mundungo
walk: oso-
walk: oso-
walk: sakuet
walk: usa-
walk: usa-
warm: enggene
warm: warenggene
water: fata
water: fata
water: fata
water: pata
water: pata
we: e-me
weep: newiri
weep: tetemi
we: etmaua
we (incl.): e-me
we (incl.): e-tmaya
we (incl.): e-tmaya
wet: atero
wet: atoro
wet: atoro
wet: atoro
what: arima
white: mawuti
white: mawuti
who: isine
wife: inawo
wind: were\ia
wind: wereiya
wing: naguiaba
wing: sainasuru
woman: ebei
woman: ewei
woman: (ja\anou-)evei
wood: iwere
wood: iwere
wood: iwo
wood: iwo
yellow: a\obo
yesterday: ete-ete
yesterday: ita\itare
you: \e-me
you: e-me
you: ke-me
