meat: it̪a
meat: ŋuti
meat: ŋut̪i
moon: miɹ̣kiɹ̣iɲi
moon: mirkuɹ̣ini
mosquito: ŋunawal̪i
mother: ŋama
mother: ŋamaɟa
mountain: mila
mountain: mila
mountain: yandra
mountain: yandra
mouth: d̪aya
mouth: taya`taya
name: yaɹ̣iɲa
name: yariŋa
navel: mindra
near: wina
new: wayiwa
night: galga
night: ŋaulaŋa
night: ŋawu
not: ka
not: ŋala
not: waʎa
not: waʎa
not: waʎa
old: garugaru
old: karu
old: karu karu
old: nuwa
old: wit̪it̪a
one: wat̪uwali
one: waɟu
person: kaṇa
play: birki
pull: wiḷiɟi
push: numpa-
push: nunpa
rain: pit̪a
rain: put̪a
rain: yaṇa
red: marpamarpala
red: marpila
red: pak-un̪a
red: ṭia ṭiari
red: ṭiri ṭiri
right: ducigali
river: ŋuku
river: ŋuk-u
road: bagala
road: guɹ̣gaɲa
root: baḷgara
rotten: gaḷgu-gaḷgu
rotten: tuŋka
sand: d̪ipiɹ̣a
say: pura-
say: tumpi-
say: yan̪d̪a
say: yanda-
say: yani-
scratch: mirə
sea: nuka ŋak-a
see: n̪aɟa
see: n̪ant̪a-
see: nat̪a-
see: ŋat̪a-
short: ŋalpa
short: wanta
shoulder: wiṇka
sister: gaɲiɟa
sister: karant̪ara
sit: gul̪a
sit: kulawari-
sit: nina-
skin: naɲciɲa
skin: nant̪ina
sky: ŋayra
sleep: waka-
small: pani pani
small: waywa
smell: wupi
smoke: d̪upu
smoke: tup-u
snake: kuɹ̣imaɹ̣a
snake: kulmara
snake: muna
snake: muṇa
snake: ŋuti
snake: paṭila
snake: yap-ura
sour: gaṭi
spit: miɲə
stand: tina-
stand: tina-
star: dici
stone: muk-ura
stone: yandra
stone: yandra
straight: yulu
sun: mila
sun: miḷa
sun: tunuya
sweet: guɟa
swell: d̪uku
swim: winta
swim: winta-
tail: d̪ipa
take: mama
take: manda-
take: wal̪t̪a
that: nanimari
there: -ʎa
there: naŋalamara
there: -ya
they: d̪ana
they: d̪ana-n̪a
they: d̪ana-ŋani
they: d̪ana-ŋu
they: nanapuka
they: nanipuka
they: tana
they: tana
they: tanana
they: tanandu
they: tanaŋani
they: tanaŋu
they: tanaŋu
they two: bula
