say: φaḍər
say: φaḍər
scratch: kɔgɔnər
sea: φɔḍi
seed: mihinɛ
see: ḍoḍər
see: lanər
sew: sur
short: kɔrɛy
shoulder: φɔrlɔmči
sing: ḍɔːnɔ gɔnər
sister: ḍurɔ
sister: idi
sit: twɔzɔ
skin: ašyɛ
skin: nǯasi
skin: ɔrwɔ
sky: san
sleep: nya͂ŋər
small: aḍḍi
smell: suru
smoke: ɛzzɛ
snake: gɔlɛ
snow: kiḍa
son: mi
sour: čačaɔ
spit: kazɔ
spit: su͂ŋər
split: φarḍər
stand: yɛrḍər
star: təski
stone: yi
suck: yabər
sun: ɛzzɛ
sun: ɛ̀zzɛ́
sweet: ɛzinḍi
tail: φoḍi
take: gɔnər
take: mu͂r
take: winər
that: ɔra
that: ɔri
there: ɔttɔ
they: həntɔ
they: ˗həntɔ
they: mara
thigh: mɔḍurḍɛ
thin: gɛlɛbɛ
this: ara
this: ay
thorn: ɛlɛ
thou: ənḍa
thou: nəm
thou: ˗nəmma
thou: nənḍa
thou: ntəm
thou: ˗ntəmma
three: agɔzɔ
three: àkùzzuː
three: nagɔzɔ
throat: kɔllɔgɔ
throw: ɔlɛnər
thunder: kənǯɛlɛy
tie: tonər
today: mɛni
tomorrow: hiči
tomorrow: φɛkkɛ
tongue: tèlèsú
tongue: tərhi
tooth: tɛ
tooth: tɛ kuluŋa
tooth: tíː
tooth: φulanto
tree: ɛkɛ(aka)
turn: kurkurunər
two: ču
two: čuː
two: nunču
vagina: kɔgi
vagina: wɔ
vomit: yiŋər
walk: ḍaganɔ
walk: tanər
walk: tɛrɔ
walk: yar
warm: winigi
warm: ǯigi
wash: ḍrɔssɔ
wash: tulər
wash: ǯamər
water: galɛ
water: iː
water: íː
water: yɛgɛ
weep: ɔa͂ŋər
weep: su͂li
weep: yoḍər
we: ˗ntər
we: tənḍa
we: tənḍɔ
wet: innɛi
wet: lili
what: inni
when: nɔkɔ
where: yɛ
white: čuo
who: nya
wide: čuru
wife: aḍɛ
wind: awɔnɔ
wing: ɛhirɛ
wipe: sarḍər
with: yɔttɔ
woman: aḍɛ
woman: ɛḍi
wood: ɛkɛ
wood: kɔlay
worm: kuli
year: ŋəlɛ
yellow: mini
yesterday: mɔski
yesterday: ŋɔḍay
