he/she: wepa(ra)
hit: anepata
hit: rakaro
hit: rakaro
hit: rakaro
hit: rakaro
hit: raman
hit: ranepat
hit: ranepat
hit: ranepat
hit: ranepat
hit: ranepat
hit: ranepat
hit: ranepat
hit: ranepat
hit: tanepat
hit: tanepat
hit: tanepat
hit: tanepat
hold: raɟa
hold: rai
hold: raiɟa
hold: raiɟa
hold: raiɟa
hold: raiɟa
hold: raija
hold: raija
hold: raija
hold: raija
hold: raja
hold: ratiar
hold: ratiar
hole: atem
house: yabar
house: yaßar
house: yaßar
house: yaßar
house: yaßar
house: yavar
house: yavar
house: yavar
house: yavar
house: yawar
house: yawar
house: yawar
house: yawar
house: yaware
how: ruwijirati
how: ruwi-maisya
I: i-
I: i-
I: n-
I: rei
I: rei
I: ri
I: rinai
I: ri-sy(a)
I: ri-syo
I: sho
I: šo
kill: raubai
kill: raubai
kill: raubai
kill: raubai
kill: raubaisy
kill: raubaisy
kill: raubai(sy)
kill: raußai
kill: rauvai
kill: tabais
kill: tabais
kill: tabais
kill: tabais
kill: tabais
knee: bugam
knee: bugam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukam
knee: bukami
knee: bukami
laugh: guwe
laugh: guwe
laugh: ogeße
laugh: ogeve
laugh: ugeße
laugh: ugeve
laugh: uguen
laugh: uguen
laugh: uguwe
laugh: uguwe
laugh: uguwe
laugh: uguwe
leaf: bara (?)
leaf: bau
leaf: ba(u)
left: kakai-je
leg: najo
leg: naɟo
lie: -naki
lie: -naki
lie: -neki
lie: -neki
lightning: ikaß
lightning: ikav
lightning: ißak
lightning: ißak
lightning: ivak
lightning: ivak ≈ iwak
lightning: sibak
lightning: sibak
lightning: sißak
lightning: sißak
lightning: sivak
lightning: sivak
lip: nawao-kea
live: tena
long: gwaraßai
long: gwaraßain
long: gwaravai
long: gwaravain
long: gwarawin
long: gwayaßain
long: gwayavain
long: soɟain
long: sojain
long: ßayaßait
long: vayavait
long: waiawan
long: waiawan
long: wayaßa
long: wayava
louse: em
louse: em
louse: em
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
louse: eme
man: aina
man: aina
man: aina
man: aina
man: ana
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: anya
man: an(y)a
man: ka-mena-wie
man: tanya
man: tanya
man: t-anya
man: t-anya
many: kawasae
moon: ɟaon
moon: emba
moon: emba
moon: embae
moon: embae
moon: embae
moon: embae
moon: embae
moon: embae
moon: embae
moon: jaon
moon: jaon
moon: semba
moon: semba
mosquito: anatatau
mosquito: anatatau
mosquito: anatatau
mosquito: anatatau
mosquito: anatokau
mosquito: anatokau
mosquito: anatokau
mosquito: andakauku
mosquito: andakauku
mosquito: anyira
mosquito: anyira
mosquito: anyira
mosquito: pikarari
mosquito: pikarari
mosquito: pikarari
mother: awea
mother: awea
mother: awea
mother: nko
mother: nko
mother: nko
mother: nko
mother: nko
mother: nko
mother: nkoa
mother: nkoa
mother: nkoa
mother: nkua
mother: nkua
mouth: aßa
mouth: aßa
mouth: ava
mouth: ava
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: awa
mouth: n-awao
name: tam
name: tam
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tame
name: tam(e)
name: tami
near: pararai
neck: akuin
neck: akuin
neck: akuin
neck: akumbasin
neck: akumbasin
neck: isis
neck: isis
neck: isis
neck: isis
neck: isis
neck: isis
neck: isis
neck: isis
neck: isis
