play: -galog
play: gaḷuk-
pull: ɟaḷap-
pull: ḍororʔ-
pull: gar-bu-
push: ɟuɟuḷ-
push: ɟuɟuyʔ-
rain: guɟiɟilg
rain: ɟilk-
rain: weʔ
rat: ɟirggin
red: ḍiɲɟalin
red: mayŋoʔ
red: (ŋiri)ŋiriyiʔ
red: ŋirŋirye
right: balama
right: bala-maʔ-wala
ripe: wɔlɔbin
river: bo
river: bok
river: gubɔː
river: gubɔː
road: bolʔ
road: mubɔl
root: gubɔl
rope: balggu
rope: balku
rope: mubalggu
rope: ɟorŋ-
rotten: goɹ̣ʔ
rotten: -gɔṛ\min
round: dugbɔr
round: woɟor
rub: -bɔlma
salt: maḷuruḷuru
salt: milibalkiɲ
sand: ɟambuɹ̣
sand: guɟambur
say: -ɲaug
say: ɲawk-
say: woga-
scratch: -lilir-
sea: mɪlɪbaːṛŋ
see: baya-
seed: guŋanɟula
seed: ŋaɲɟuḷa
see: gogon-bu-
see: -na-
see: ṇa-
sharp: -mɛrɛ\ma
short: ɟaṛug
short: ɟaɹ̣uk
shoulder: beɹ̣emelk
shoulder: gubirimil
shoulder: meḷepeʔ
shoulder: muṇɟum
sing: ɟulu-wa-
sing: war-ga-
sing: -wawagan
sister: gaka
sister: ɟúgaga
sister: ɟuyäbba
sister: yapa
sit: ḍuɹ̣ʔ-
sit: ṇa-
sit: -naŋa-
sit: -naŋa-
skin: ɹ̣awʔ
skin: bula\bun
skin: guḷaʔ
skin: gula\
skin: malk
sky: gugɔnɔŋ
sleep: ŋere
sleep: yo-
sleep: -yɔŋa-
small: mibara
small: moymoy
small: ṇoṇʔṇoṇʔ
smell: -bɔbna-
smell: bop-
smell: goɹ̣ʔ-bop
smoke: guguwalbɛnɛ
smoke: guguwalbɛŋɛ
smoke: wol
smooth: -má
snake: ɟamben
snake: ɟambɛn
son: nugɛː
spit: gol-ŋeɹ̣ʔ-
spit: ŋaḷ
spit: ɟuṇuɹ̣ʔ-bu-
