he/she: ŋaṇu
he/she: ŋayiŋi
he/she: ya-
hit: maya
hold: ḍabil-a-
hold: dabil-a-
hold: ɟubuɟ-a-
hole: lamalu
house: maṛu
how: ɲambaṇḍi
how: ḍaḍu
hunt: ŋiṛigia-
husband: ŋambilgula
I: ŋa-
I: ŋa-
I: ŋaɹ̣-
I: ŋaigya
I: ŋaiṇi
I: ŋaru
I: ŋaya
I: ŋaya
I: ŋaya
jaw: gaŋaṇḍa
kangaroo: ganɟalauri
kangaroo: ŋaliɟiṛiṇi
kill: maya
knee: baŋgiṛimi
knee: muɟumi
know: maṛŋaɟa
lake: ɟigaya
laugh: kabiɟa-
leaf: naɲalu
left: (w)aguɲi
lie: maɲanḍug-a-
lie: wiḷiwal maɲan
lightning: bibaɟu
liver: ɟabaṛga
long: biːɟ-
long: biːɟ-
long: biːɟaːla
long: biːɟaːla
louse: midiʎi
louse: ɟuḍiṇi
man: baya
man: bininɟa
man: gaḷiŋga
many: ḍaḍu
meat: ŋaːŋa
moon: baḍaŋgaːṛa
morning: gaḍaṛguɟi
morning: ŋuṛaṛuŋga
mosquito: baŋguliṇi
mosquito: gaṇamura
mother: biliṇi
mother: biḷuḷini
mountain: galiṛiŋu
mountain: galiṛuŋu
mouth: ŋaɟalaguṛu
name: ligyu
narrow: manbur
navel: maɟulu ɟulibi
near: luḍba
near: milaṇḍa
neck: mangiɟbi
new: ɟaʎamiŋg-
new: ɟaʎa-muŋgu
new: guḷuguḷa
new: ibinɟini
new: yabaɲɟ-
new: yabaɲɟa
night: ŋuṛaːṛiɟbi
night: yidayidaɟu
not: aŋguḷa
not: aŋguḷa (w)aɟinbaɟa
old: imigiṇi
old: imigiṇi
old: laṛba
old: maḷuga
old: maḷuga
one: ɟaŋgubani
one: naŋgubani
person: bayaḍuḍu
play: yuṛi-a-
pull: mṛmaɟa
pull: uṛaɟa
push: dangaya
push: dingiː
rain: ibilgiṇi
rat: daṇḍi
rat: muɲuɲuṇi
rat: ŋabiṛiṇi
rat: yaṛugaɟiṇi
red: biʎiŋbi-aga
right: ɟiwira
river: furŋurmi
river: ɟurgulu
river: ɟurgulu
road: madgaːgu
root: iṇḍuṛu
rope: ɟaḍugulu
rope: muṇuŋkumi
rotten: ɟabaṛa
rotten: giʎi
salt: miɟuːlu
sand: ɟaṛimanu
sand: nuya
sand: yarilinɟa
say: (w)ambaya
say: (w)imbil
scratch: aṛguɟ-a-
