all: te
thou: nyonə
three: karak
three: karuku
three: karuku
throw: chou
thunder: gra-mvuvre
thunder: gra-mvuvre
today: masi
today: masi
today: sësí
tomorrow: samete
tomorrow: santë
tomorrow: santə
tongue: jito
tongue: nɟɪto
tongue: ǯito
tooth: tərok
tooth: tragë
tooth: tragë
tooth: tragə
tree: batë
tree: bëdë
tree: bədə
tree: bʌt(ə)
tree: pëdët
two: kabok
two: kafëk
two: kawuku
two: kawuku
two: kaφək
two: magge
walk: ayi
walk: ay-i
walk: cici
walk: pi-
walk: pra-
walk: tare
walk: tar-e
wallaby: kre
wallaby: kre
wallaby: krevu
warm: gi
warm: gi
water: ba
water: ba
water: ʔba
water: kpa
weep: dizi-
weep: j-i
weep: ǯi
we: nane\
we: ni-
we: nibe/ni(be)/ni
we: nya
we: nyanə
we: nyi
we: n(y)i/nya/nya-në
we two (incl.): ŋgwakə
we two (incl.): nyimakə
we two: ngwa-kë
we two: nyi-makë
what: kovo
what: kuwë
what: kuwə
where: embe
where: embe
where: embe
white: dëkwas
white: dəkwas
white: úguro
who: umdu
wind: guri
wind: guri
wind: guri
woman: fe-ndu
woman: mve-ndë
woman: mvendə
woman: nfe-ntu
woman: φɛndu
wood: mvɨ
wood: mvï
yellow: nggo
yellow: ŋgo
yes: ara
yesterday: ngno
yesterday: ŋno
yesterday: ngoro
yesterday: ngro
yesterday: ŋro
you: no-be
you: no-be/do(mu)/no
you: nonob\
you: nyo
you: nyo-në
you two: në-makë
you two: nəmakə
