all: bɛ
say: fɔ́ːf
say: pɑ
scratch: kɔ́sɑ
scratch: kɑpəs
scratch: ŋɑt
seed: ɛ˗seənt̪
seed: mɑ˗čer
see: nɛ̀ŋk
see: nənk
sew: sontʰ
sharp: wɔŋi
short: gbut
shoulder: akɛ̌ŋkěla
shoulder: ɑ˗kəŋklɑ
sing: leŋ
sister: u˗wɔnt̪ u˗bɛra
sister: wóːant ubɛ́raːfɛt
sister: wóːantubɛ́raubaki
sit: yirɑ
sit: yíːra
skin: adɛ́r
skin: ɑ˗rékɑ
skin: ɑ˗rekɑ
sky: ariːánna
sky: kə˗rənt̪
sleep: díːra
sleep: kə˗dírɑ
sleep: ma˗re
small: lɔl
small: lɔːl
smoke: k\imɑ
smoke: kiːma
smooth: tənəp
snake: á˗boːk
snake: ɑ˗bɔk
snow: k˗ɔm kɛ˗díra
snow: k˗ɔs
son: w\ɑn u˗rúni
son: wóan rúːni
sour: yeryer
spit: ɛ˗nil
spit: sɔr
spit: sɔr
split: gbai
squeeze: wɛk
squeeze: wɛtɑ
stand: təmɑ
star: k˗os
stone: asáːr
stone: ɑ˗sɑr
straight: lóːmpi
straight: lomp(i)
straight: t̪oloŋ
suck: bɛt̪
sun: ɑr˗ét̪
sun: r˗eːt
sweet: rɑ˗mɑi
sweet: rɔmái
swell: boiɑ
swim: ŋɑnt̪əŋ
tail: kə˗lenɑ
take: gbási
take: yokɑ
take: yóːka
they: aŋ˗
they: ɑŋ
they: ŋa
they: ŋa
thick: ləči
thick: lət̪i
thigh: á˗laŋk
thigh: ɑ˗ləŋk
thin: čempi
think: lɑnɛ
thin: pɛpəl
thou: ɲ˗
thou: munɔ
three: pěsaːs
three: pə˗sɑs
throat: a˗bolo
throat: a˗búlo
throat: koŋkɛ́bɛːt
throw: ləmər
thunder: r\eŋ
tie: kot̪
today: téːnɔŋ
today: t̪onɔŋ
tomorrow: ninaŋ
tomorrow: níːnaŋ
tongue: rá˗meːr
tongue: rɑ˗mer
tooth: rá˗seːk
tooth: rɑ˗šek
tree: ŋě˗nt
tree: ŋ˗ənt̪
turn: ɔ˗kɑrɔ˗ənɑ
turn: ɔ˗nutnɛ
two: pěraŋ
two: pə˗rəŋ
vagina: mɑ˗bɛ́rɑ
vagina: rɑ˗bɔk
vagina: ɑ˗t̪ɑmpi
vomit: ŋɑnt̪
walk: gbukɛ
walk: gbúːkɛ
walk: kɔ
walk: ˗kɔ́
walk: ˗kónɛ
walk: kɔnɛ
walk: kɔt
walk: na
warm: fɔi won
warm: won
warm: woːn
wash: búko
wash: yak
water: mánt
water: n˗aŋt
weep: bɔk
weep: kulo
weep: kúlɔ
weep: n˗ɑnt̪ər
we: s˗
we: sa
we: su
we: su
wet: krɑŋk
wet: tsáŋk
what: ko
when: t̪et̪e
where: ˗a
where: deke
where: reke
white: féːra
white: ˗fəra
who: kanɛ
wide: bɑnɑ
wife: ɔ˗rɑni
wind: a˗fef
wing: ɑ˗kufnɑ
wipe: nɑši
with: rɑ
with: yi
woman: bɛ́rɑ
woman: wúnibom
woman: wuni˗bom
wood: ak˗əŋt
wood: k˗ənt̪
worm: ɑ˗bílo
year: kɑ˗ren
yellow: yim
yesterday: dis
yesterday: diz
you: n˗
you: na
you: nu
you: nu
