arm: ati
ashes: tanapa
bark: mat
bone: wimbi
breast: mam
dog: gonʌ
ear: asipi
eat: nei
eye: ta
fire: titɛ
foot: tar
hair: amɛ
head: pit
he/she: no
knee: tarakum
leaf: sa
leg: tar
louse: imiŋ
moon: tapiŋ
mouth: mak
neck: puntai
rain: ʔwai
road: arapuk
skin: mat
smoke: osʌ
star: poiŋ
sun: a\atʌ
tongue: mɛlepi-
tooth: ma\ati
tree: tei
water: wai
