and: té
night: lɛ́˗ŋgɔ
not: ɗàŋgɔ́
old: dílí˗ná
one: áwé
other: ˗ela
person: nɔ̀ŋgɔ̀˗gó
play: mɔ́˗ɛ̀ ŋgòá˗lɔ̀
push: ndúrú˗ɛ̀
rain: mà˗kó
red: ŋgbàríŋgbɛ̀˗ná
river: ŋgu˗mɔ
road: lɛ́pi˗lɔ
root: té˗wo
root: wǔkú
rope: kɔ˗lɔ
rub: tríkí˗ɛ̀
salt: mbé˗mɔ̀
sand: syóù˗kó
say: só˗ɛ̀
say: só˗ɛ̀
scratch: kpórí˗ɛ̀
see: ɓí˗ɛ̀
seed: kyɔ́ː˗wɔ́
sew: sú˗è
short: ndùtù˗ná
shoulder: ŋgbálágò˗kɔ́
sing: sú˗è
sit: ɗátú˗ɛ̀
skin: kɔ́˗wò
skin: ŋgbá˗wó
sky: lì˗gó
sleep: lyá˗ɛ̀
small: ɓé˗kyà˗ná
smell: gúrú˗ɛ̀
smoke: ŋgú˗mò
snake: kuá˗ŋgo
spit: sómɛ̀˗mɔ́
split: dó˗ɛ̀
squeeze: pílí˗ɛ̀
stand: ró˗ɛ̀
star: pérémà˗lɔ́
stone: tè˗lɔ́
straight: kí˗ná (lɔ́)
suck: pá˗è
sun: áfùɔ̀˗wó
sweet: lá˗gó
swim: syɔ̀ó˗wɛ̀
tail: sìà˗wó
take: tá˗ɛ̀
take: zílɛ́˗ɛ̀
there: gàkí
there: ípí
they: yè
they: zù
thick: ndɔ́ndòlò˗ná
think: lá˗ɛ˗tá
thin: tɔ́ré˗ná
thorn: si˗wò
thou: muŋgɔ́
three: àrá
throw: dú˗ɛ̀
thunder: gbára˗o
tongue: lìà˗kò
tooth: tɛ̀˗kó
tooth: téyé˗kò
tree: pá˗wó
two: bbo
vomit: gyíé˗ɛ̀
walk: nɔ́˗ɛ̀
warm: góɛ̀lɛ̀˗ná
wash: zyɔ́rí˗è
water: ŋgó˗mɔ̀
weep: limɛ˗mɔ́
we: nínyó
wet: kpɛ̀tɛ̀˗ná
what: ne
when: lɛ́ŋgó˗ì a
where: pa
white: ɓúlú˗ná
who: nyé
wide: gbɔ́˗ná
wife: wábìnɔ̀ŋgɔ̀˗gɔ̀
wind: wóɔ̀˗kó
wing: ppoppo˗kó
wipe: mɔ́rí˗ɛ̀
woman: wábi˗gɔ́
wood: agaba
worm: tàbà˗gó
year: ndoa˗wó
you: ɗànyó
