knee: niyaka b=ung
knee: niyáka b=ung
knee: niyakuku
knee: niyákuku
know: ete\ing
lake: oang
leaf: fa
leaf: vel
leaf: wɑ
leaf: wa
leaf: wa
leaf: wa
leaf: wel
leg: ia
leg: idzha
leg: iya
leg: iya
leg: iyaka
leg: iyaka
leg: iyax
leg: niyax
lie: teding
lie: tia
lip: naʔɛtupɑ
lip: na-\etupa
lip: na-tobol
lip: nebár
lip: nibár
lip: niwál
lip: no-bol
live: \angu
live: eb!eta
long: avéning
long: avéning
long: evening
long: ewéning
long: ewéning
long: nawéning
long: wening
long: wɛniŋ
long: wining
louse: b!ang
louse: kubang
louse: kubang
louse: kubang
louse: kubang
louse: kubaŋ
louse: p!ang
man: amu
man: amu
man: mehal
man: mehal
man: nehe-mehal
man: (nehé) mehal
man: (sa)mesal
man: (sɑ)mɛsal
many: bala
many: toang
meat: daging
meat: dɑgɪŋ
meat: ehi
meat: humung
meat: humung
meat: umung
meat: umung
meat: umúng
moon: uru
moon: uru
moon: uru
moon: uru
moon: uru
moon: urúh
moon: urúh
moon: whuru
mother: ifá
mother: iiwa
mother: iva
mother: iva
mother: iva
mother: iwa
mother: iwa
mother: niwa
mountain: adúal
mountain: adúal
mountain: buku
mountain: buku
mountain: dol
mountain: dol
mountain: pondo
mouth: na-ag
mouth: na-ayi
mouth: n-ag
mouth: n-ag-gumi
mouth: n-agúmi
mouth: n-ay
mouth: n-ay
mouth: n-ay-bor
mouth: n-ayi-gomi
mouth: n-ayómi
mouth: n-ayómi
mouth: n-ayómi
mouth: nɑːyi
name: anéh
name: anéh
name: ene
name: ene
name: ene
name: ene
name: enu
name: nɛːnu
navel: na-puwal
navel: na-puwal-geng
navel: na-puwar
navel: na-puwar
navel: nupusar
navel: nu-pusar
navel: pohár
neck: na-boga
neck: na-bukang
neck: na-tagh
neck: no-bo
neck: no-bo
neck: no-bo\
neck: nɑtaɣ
new: baru
new: baru
new: baru
new: haba
new: hiba
new: siba
new: siba
new: wede
night: b!il kúwa
night: b!il-kúwa
night: b!ir-kúwa
night: il-kakúwa
night: kakúwa
night: këmálung
night: yɛɣanɑ
night: yeghána
nose: na-ming
nose: na-ming
nose: na-ming-bor
nose: na-ming-bor
nose: na-ming-bor
nose: na-miyáng
nose: na-miyáng
nose: na-miyáng-bugul
nose: na-miyáng-bugur
nose: ni-ming
nose: ni-ming
nose: nimiŋbaxɑ
nose: ni-ming-baxa
not: niang
old: boma
old: memet
one: annu
one: annu
one: he\i
one: nu
one: nu
one: nu
one: nu
one: nuk
one: nuk
other: ebeung
person: ne(he)
rain: anúaar
rain: anúar
rain: ay
rain: ay
rain: nowár
rain: onor
rain: ɔnɔr
rain: unuar
red: aténing
red: b!ib!a
red: bibi
red: b!ib!i
red: pɛnɑ
red: pena
red: tena
river: mual
river: totu
road: higa
road: (ʰ)igɑ
road: lamál
road: viya
road: wiya
road: wiya
road: wiyag
root: baríking
root: baríking
root: bëríking
root: bëríking
root: biríking
root: briking
root: brikɪŋ
sand: b!ahi
sand: b!at
sand: b!at
sand: bhey
sand: mahi
sand: olol
sand: was
sand: was
say: banang
say: hula
say: tutuk
sea: tang
see: eli
see: eté\ing
see: eté\ing
see: lala
see: lɑla
see: teyng
see: uling
see: ulíng
shoulder: na-bagat
shoulder: na-b!eya
shoulder: na-b!eya
shoulder: na-beyak
shoulder: na-b!eyak
shoulder: nɑbɑgat-
shoulder: nibiit
sing: orang
sit: mihá
sit: mihá
sit: mihi
sit: mihing
sit: mihíng
sit: misi
sit: misi
skin: na-b!ual
