suck: kəṛɔ́wǃ
sun: t̪˗ɛ́ŋə́n
sweet: lai
swell: u˗ɣímb˗ʊ́
swim: ʊ˗báldán
tail: ɗ˗
tail: t̪˗ɪɑ
take: ɗəngəl˗ɔ́ǃ
they: lá
thick: ˗ninníč
thick: t̪ə˗
thin: ɲ˗
think: u˗kárín φáːmá
thin: t̪˗
thin: ˗úrrɛ́
thou: ɲɛ́
thou: ŋwá
thou: ˗ɔwa
three: (t̪)ád̪áǃagáːgán
throw: wɛ˗ðɔ́ǃ
tie: kaj˗t̪ɔ́ǃ
tongue: ɗ˗
tongue: t̪˗aŋəṛá
tooth: č˗
tooth: k˗əŋáw
tree: č˗
tree: k˗at̪iɲ
turn: t̪ɛɣənɔ́ǃ
two: (t̪)áččɛ́rɔ
vomit: ɣə́kágʊ́ǃ
walk: ńd̪˗ɔ́ǃ
walk: ú˗nuwɔl˗ɔ́
walk: w˗ʊ́ŋg˗ɔ́
warm: ŋ˗
warm: ˗úččú
wash: wɛyč˗ɔ́ǃ
water: ŋ˗a
we (excl.): íná
we (excl.): íná
we (incl.): írí
we (incl.): írí
wet: k˗
wet: ˗ɔ́t̪t̪áw
what: áɲá
when: t̪ánd̪ɔ́ŋ
where: wáɲ
white: ˗ɛːra pφɔ́ʔɔk
white: k˗
who: ɲáká
wide: k˗
wide: ˗ʊ́rrá
wife: l˗r̀ǯá
wife: (w)u˗rdʒá
wind: uru
wing: č˗
wing: k˗əbɔ́w
wipe: pr̀t̪˗ɔ́ǃ
woman: ŋg˗ɛ́ːl˗a
wood: ɲ˗
wood: t̪ə˗ǯɔ́
worm: ɗ˗
worm: t̪˗ɔ́
year: či˗
year: kə˗t̪aṛɛ́
