star: l˗úrɔ́m
star: ŋ˗
stone: g˗ádɔl
stone: ǯ˗
straight: gw˗at̪u gw˗apə́ ganu nɔ
suck: ɛɾuǃ
suck: mún˗uǃ
sun: áɲɛ́n
swell: ma˗apíṛ˗i
swim: li˗pín˗u
tail: lɛ˗pɛ́r
tail: ŋu˗
take: ápp˗uǃ
there: ˗ɔ
there: ɔnɔ
there: ˗uwei
they: ˗agɛn
they: ŋaːgɛn
thick: bɔðɔ nɔːnɔ
thin: ˗ddrá
thin: gwu˗
think: arab ʟ.w.
thorn: ð˗ugi
thou: ˗alɔ
thou: ɲaːlu
thou: ŋa
thou: ˗ɔna
three: t̪ɛ́ṛɛl
throw: məṛ˗íd̪iǃ
tie: kak˗éuǃ
tongue: d˗
tongue: d̪˗ɛ́ŋɛ́lá
tooth: l˗áŋát̪
tooth: ǯ˗íŋátq
tree: gw˗aːṛɛ
tree: n˗
turn: wúrl˗ɔ gaːnuǃ
two: gutʌn
vomit: wɛ́˗d̪iǃ
walk: gw˗índ˗i
walk: índ˗iǃ
warm: ŋ˗
warm: ˗úbúðu
wash: wɛ́˗uǃ
water: ð˗el
water: ŋ˗âw
we (excl.): ɲɛri
we (excl.): ɲɛri
we (excl.): ˗əri
we (incl.): ˗agɛ
we (incl.): ˗agɛ
we (incl.): ɲaːne
we (incl.): ɲaːne
we (incl.): liŋo
we (incl.): liŋo
wet: ˗ígə́lɔ́ŋ nɔːnɔ
what: gurɔ́
when: ǯád̪û
where: káŋ
white: gw˗
white: ˗ukrɛ́
who: ad̪rígúrɔ
wide: g˗
wide: ˗úːrá gaːnu
wife: gw˗á
wife: l˗
wind: d̪˗ə́rɔn
wing: g˗íbɔ́
wing: ǯ˗
wipe: mɔ́ǯ˗ɔǃ
woman: gw˗á
woman: l˗
wood: d̪˗ɔ́
wood: d˗ɔ́a
worm: gw˗ɔ́ndɔ́lɔ
worm: l˗
year: g˗id̪ilíáw
