they: lʊ́ːnu
they: ǯʊ́ːnu
thick: ˗áfáːŋá
thin: ˗ád̞rá
thin: d̪˗
think: gu˗fúríɲí nú gɔ
thou: ˗allá
thou: ˗aːlu
thou: ɲaːna
thou: ŋa
three: t̪íːṛil
throw: aw˗íːǃ
tie: gák˗aːǯígɔǃ
tongue: ɗ˗
tongue: d̪˗aŋəlá
tooth: ŋ˗iŋɛ́y
tooth: ǯ˗
tree: gw˗aːṛi
tree: l˗
turn: warl˗ɔ́ǃ
two: ráːb
vomit: uwɛ́˗yíǃ
walk: m˗ɛːl˗ɛ́
walk: wudd̪d̪˗íǃ
warm: ŋ˗
warm: ˗úfuːyu
wash: uwɔ́y˗úǃ
water: ŋ˗áw
we: náːna
wet: g˗
wet: íːglú
what: áŋ
when: d̪úŋ
where: ŋg˗ɛ́ːl˗a
white: g˗
white: ˗ípíːd̪ú
who: ijʊ́
wide: ˗áwrá˗gɔ
wide: d̪˗
wife: gw˗iǯí
wife: l˗
wind: nd̪ərɔ́n
wing: ɗ˗
wing: d̪uffú
wipe: árí˗jɛ́d̪gɔǃ
woman: gw˗iǯí
woman: l˗
wood: ɗ˗
wood: t̪˗ɔ́
worm: gw˗ɔyɔ́yɔ
worm: l˗
year: g˗id̪lɛ́yú
year: ǯ˗
