belly: ŋaːlu
blood: gunbulu
bone: ŋandi
come: dama-
dog: yuguru
emu: galayu
eye: bani
fire: wiga
fly (n.): wɔdei
give: yi-
head: ɟuɟu
hear: bina gari-
kangaroo: barɟanin
man: marŋu
moon: ḍaḍaḍa
mouth: rira
say: muwar
see: yiri-
sit: gaɟa-
smoke: baṇḍi
smoke: ɟuwi
snake: ɟuru
stand: waɹ̣ar gari-
sun: ɟanɟa
take: ma-
tongue: ɟälin
walk: ya-
water: ŋaba
woman: midawa
woman: naʎgun
