how: ergaxo
husband: edahina
husband: edshon
I: adif
I: adif
I: -dedin
I: di-
I: didif
I: didif
I: didif
I: didif
I: f
in: ebesi
in: efesi
in: ewesi
I: te
I: te:f
I: tif
I: tif
I: titif
I: titif
kill: rao
knee: meiteb
knee: m-uk-aibi
lake: mèrèn
laugh: rutfut
leaf: efei
leaf: efeyi
leg: ikak
leg: ikak
leg: ipèk
leg: ipɛk
leg: maki
leg: maki
leg: maki
leg: ma:ki
leg: maːki
leg: meyak
leg: meykak
leg: m-ukra
lightning: mocefesa
lightning: mocheves
lip: mofuch
live: itechax
live: -ker
live: mitembax
liver: odou
long: axseid
louse: mais
louse: mais
louse: mec
louse: mech
louse: mè(i)t(s)
louse: mɛ(i)t(s)
louse: mè:t
louse: mɛːt
louse: meus
louse: meys
louse: meys
louse: meys
man: dusnok
man: dusnok
man: i:s
man: iːs
man: isnok
man: isnok
man: isosk
man: isosk
man: mona
man: mona
man: nuna
man: or-
man: ru-rna
many: ofoukou
many: ofowkow
many: rufoiko
meat: musogu
meat: ofots
moon: m-est(a)
morning: rahax
morning: raxax
mosquito: m-arbaxok
mother: amen
mother: ameyna
mountain: mema(r)
mouth: m-abesi
name: bou(y)ok
name: bou(y)ok
name: du-fòkah
name: dufɔkah
name: ifap
name: ifap
name: iwuok
name: iwuok
name: mofoka
name: mufaka
name: mu-faka
name: mu-foka
nape: migocheva
navel: minggen
navel: ringen
near: doida
near: douda
near: toida
neck: mu-rukwa
neck: rukfa
new: efeina
new: efeinax
new: esk
new: mufrokefes
night: mo:nta
night: moːnta
night: mot
night: mot
night: mò:t
night: mɔːt
night: motu
night: motu
night: motu
night: motu
night: mòtu
night: mɔtu
nose: mu-shmu
nose: ru-sum
not: koru
old: ensis
old: odsonokuen
old: ofonu
old: oruoken
one: afims
one: afims
one: arfins
one: arfins
one: ergens
one: èrgèns
one: èrgèns
one: èrgèns
one: ɛrgɛns
one: ɛrgɛns
one: ɛrgɛns
one: ervens
other: eneya
person: eitarchfob
person: ru-suak
rain: m-os
rat: machup
rat: moisug
rat: motsu
red: ekeni
right: mognosk
right: mugnosk
ripe: ofom
road: m-orojhu
root: ofon
rope: marfeb
rotten: embak
sand: m-ebsta
sand: m-eforkua
say: matmar
sea: memogumu
sea: mochmu
seed: efech
see: ekfo
see: mena(e)k
see: mena(e)k
see: m(i)ènk(a)
see: m(i)ɛnk(a)
see: mik
see: mik
see: mik
see: mi:k
see: miːk
see: mikl
see: mikma
see: mikma
short: esibi
shoulder: m-efem-brotoi
shoulder: m-efendu
sing: mofmarmiaka
sister: ediera
sister: ediesa
sister: edshera
sister: edshesa
sit: be-ker
sit: -iker
sit: m-èkèr
sit: mekɛr
sit: mikar
sit: m-ikar
sit: miker
sit: miker
sit: m-ikèr
sit: m-ikèr
skin: afuots
skin: afuots
skin: a(o)wos
skin: a(o)wos
skin: awuot(y)
skin: awuot(y)
skin: menkar
skin: menkar
skin: mofos
skin: m-ofos
skin: muos
skin: muos
skin: ofos
skin: owos
sky: m-eba
sleep: -axca
sleep: -axch
sleep: maxcha
sleep: ma:x(e)a
sleep: maːx(e)a
sleep: maxja
sleep: maxǯa
sleep: memax
sleep: memax
sleep: memèx
sleep: memɛx
sleep: myix
sleep: myix
small: ofokai
small: ofokai
smell: emba
smoke: efeb
snake: m-aosu
snake: m-asu
sour: ekembia
spit: moshkuerfi
spit: muskurti
stand: mut
star: motur
stone: mami
stone: m-ami
stone: mamu
stone: mamu
stone: m-amu
stone: m-amu
stone: maukom
stone: m-aukom
stone: mekom
stone: m-ekom
stone: m-oruch
stone: m-ox(w)om
stone: mox(w)om
sun: mauw
sun: mauw
sun: mauwa
sun: mauwa
sun: mauwa
sun: mauwa
sun: mob
sun: mouw
sun: mouw
sun: mowa
sun: mowa
sun: mowa
swim: rira
tail: arek
tail: arek
tail: aura
tail: aura
tail: aura
tail: aura
tail: awirek
tail: awirek
tail: oudège
tail: oudɛge
tail: oura
tail: oura
take: barei
take: rukerek
that: bera
that: kokom
that: ongga
that: unch
there: djasimba
there: jaxsunch
they: kerken
they: rerin
they: ri-
they: rura
they: ru(r)a
they two: gago
they two: goga
they two: goha
they two: koa
thigh: mukeni
thigh: mukonu
this: if
this: kerkev
thorn: moworug
thou: afo
thou: afo
thou: atkas
thou: atkas
thou: atkas (o)rombrɛge
thou: -bebin
thou: bi-
thou: buba
thou: buba
