lie: mulg ŋaɟaŋa
lightning: miliw
lightning: miṇim
lightning: yaminɟi
lip: ŋaːndal
liver: waḍuwaḍu
liver: waḍuwaḍu
live: wainma
long: gaiari
long: rugalara
louse: ɹ̣ala
louse: balabalaŋara
louse: biɹ̣mbiɹ̣
louse: bulugbulug
louse: muṇḍi
louse: muṇḍul
louse: murdul
man: baḷya
man: gaɹ̣iyi-mar
man: gariyimar
many: ɟaɹ̣i
many: miɟimbaŋu
many: wulɟari
meat: gɔːmbi
meat: gumbi
meat: guːmbi
meat: n-gumbi
moon: ḍaŋaḍaŋa
moon: waḍaŋari
moon: waḍaŋarin
morning: miŋandadai
morning: miŋandadayi
morning: yaraganɟa
mosquito: maːla
mosquito: muḷa
mosquito: wuna
mosquito: wuṇawuṇa
mother: gaiɟiri
mother: n-gaɟiri
mother: n-garɲa
mountain: manuga
mountain: manuga
mountain: yiruŋguṛun
mountain: yiruŋguṛun
mountain: yuwaḷara
mouth: ŋaːndal
mouth: ŋaːndal
mouth: n-ŋaṇḍal
name: ŋiyin
name: n-ɲiyin
nape: dagi
nape: ḍagi
narrow: ḷur(gur)gudu
navel: mala
navel: n-mabuluma
navel: n-mala
near: digai
near: ḍigay
neck: biḷbar
neck: dagi
new: dabama
new: ḍabama
night: ṇamiri
not: ganagu
not: malui
not: ŋula
old: ɟawulba
old: ɟawulba
old: godar
old: gudar
old: malbu
old: n-baḍawaḍa
one: waŋgiɟ
one: waŋgiɟ ~ waŋgiɲ
other: -argul
other: gayi
other: waiara
person: gaɹ̣iyi-mar
person: gariyimar
play: gaṛa ŋamanɟi
pull: ɟaɹ̣
push: ɟuḷuḷu
rain: gubiɟiɟi
rain: gubiɟiɟi
rain: ɟiḷ
rain: walwur
rain: wuḷarayin
rat: buṛud
rat: buɹ̣udbuɹ̣ud
red: gilwirmin
red: mayŋu
red: mayŋu-mayŋu-ya
red: ŋuliɲ-min
right: dunbur
ripe: gabul
ripe: gabul
river: balba
river: balba
river: balbe
river: gulma
road: maŋgan
road: maŋgaṇ
root: duːla
root: n-ḍaŋul
root: rarely
rope: ɟiːbar
rope: ŋaḍugu
rope: ŋaḍugu
rotten: ɟadul
round: bɒinmin
rub: wuruŋa-
salt: balgiɲ
salt: miṇiɟar
sand: gɔiɟäd
sand: n-guɟan
say: -mindini
say: ŋaḷ
say: ŋaḷ ŋamanɟi
scratch: -arŋaḷi
scratch: gal ŋariŋu
scratch: wiɹ̣ɟ
sea: guruŋaran
sea: ḷaban
sea: labar
seed: maːguṛ
seed: n-maguɹ̣
seed: n-maramara
see: -minaɟa-
see: -minani
see: ŋara
sharp: maṇḍarara
sharp: yärämba
short: ɟamurga
short: ɟawuŋbuŋ
short: ɟawuŋbuŋ
shoulder: ɟabiḷi
shoulder: bulabula
shoulder: bulabula
sing: war ŋagandiyi
sister: n-baba
sister: n-ḍaŋan
sister: n-daɟu
sister: ŋaḷali
sister: ŋaniriɟa
sister: n-ŋa-ḷalu-mar
sister: n-ŋa-niriɟa
sister: n-ŋuḷuŋgal
sit: -anɟi
sit: ḍaɟ
sit: ŋawuliyi
skin: ɹ̣a
skin: ɲadin
skin: n-ɲaḍin
skin: ra ŋaɟuɟuŋuni
sky: baiguɟulu
sky: n-baŋara
sleep: yaṇa-ɟinɟi
sleep: yana ŋanbu
small: giyowiɲa
small: ngiyu
small: ṇiriri
smell: ŋar-ḷini
smell: ŋaru ŋaiiŋa
smoke: guŋɔŋɔ
smoke: guŋuŋu
smoke: guɹ̣umbirimbiri
smooth: gulalmin
snake: ḍawar
snake: daːwar
snow: gurugu
son: ga-ni-ɟa
son: niɟäli
spit: ɟagaɹ̣
split: baŋ
split: ḷarg
squeeze: buɹ̣ɟ
stand: bai ŋaɟuliyi
stand: bay
stand: gimay
star: dilwaŋa
star: gamirinɟi
star: gamirinɟi
star: guraḷagura ~ buraḷaburaḷa
stone: manuga
stone: manuga
stone: manugu
straight: dunbur
straight: ḍunbur-min
suck: buɲ
suck: bungu ŋiŋa
suck: ɟuŋɟuŋ
sun: gunaru
sun: guṇaru
sweet: ŋulawar
sweet: ŋulaːwar
swell: bulg
swim: ŋɔi ŋalindu
swim: ŋuy
tail: ɟiːgur
tail: n-ɟaɹ̣iɟbur
tail: n-ɟigur
take: -ganɟi
take: gur ŋariŋa
take: ŋaiagaɲi
take: yab
that: ṇa
that: ŋa
there: ga
there: ganaɲa
they: biliwu
they two: biriwu
they two: wuruɟi
they two: wuru-yi
they two: wuru-yi
they: walaia
they: wulu-yi
they: wulu-yi
thigh: ḍula
thigh: galaːgban
thin: giyɔwiɲa
thin: -ɹ̣irmul
think: gwaḍe (ra)ŋagan-ɟiyi
think: waḍara
this: ŋi
this: ṇi
thorn: ɟalg-ɟalg-manɟar
thou: niya
thou: niːya
thou: ṇiya-ra
thou: ṇiya-ra
thou: nuruwiɲa
thou: nurwu
thou: ṇurwu-ɲa
thou: ṇurwu-ɲa
three: wuruɟagai
three: wuruɟa-gayi
throat: biḷba
throat: n-ŋundurŋundur
throw: -bawayiŋgaḷi
throw: diwu ŋaiam
throw: yaɟ
thunder: gululu maniɲa
today: miŋi nale
today: ṇala
tomorrow: ɟiḷuyi
tomorrow: n-ŋibuŋibuna
tongue: ɟiːyil
tongue: n-ɟiyil
tooth: guyuru
tooth: n-guyuru
tree: dabaliːa
tree: ḍabaliya
turn: baṛa ŋama
turn: guṛid ŋagunɟiyi
two: wuruɟa
two: wuruɟa
vagina: ɟaḷbar
vagina: ḍiɟar
vagina: n-ɟirŋgiṇ
vagina: n-maḷabaŋu
vomit: wi
vomit: wiŋ ŋaɟana
walk: ɟiɟuŋun
walk: nad ŋalindi
walk: ŋad
walk: ŋalindu
walk: wari yaː ŋaḷindi
wallaby: ɟidbiliri
warm: buṇuŋuru
warm: wab
warm: winŋaniɟi
wash: guḷaḷ
wash: gulal ŋaɟilana
wash: gulal ŋaɟulono
water: ɟilbi
water: ŋargu
water: ŋogo
water: ŋugu
weep: ḷuḷ
weep: rul ŋamanɟi
we (excl.): nirwi
we (excl.): ṇirwi-ɲa
we (excl.): ṇirwi-ɲa
we (excl.): niwuriɲa
we (incl.): naruwiɲa
we (incl.): narwu
we (incl.): ṇarwu-ɲa
we (incl.): ṇarwu-ɲa
wet: waɟa
we two (excl.): ṇiri-ɲa
we two (excl.): ṇiri-ɲa
we two (excl.): ṇiri-ɲa
we two (excl.): niriɲa
we two (incl.): naga
we two (incl.): nagara
we two (incl.): ṇaga-ra
we two (incl.): ṇaga-ra
what: ŋinɟani
what: ŋinɟani?
when: wanguyar
when: wanguyar?
where: ganguni?
where: -nguni
white: biḷir-min
white: -buṛalgmin
white: buralg-min
who: naŋani
who: ŋani
wide: bil-min
wife: nirimaigula
wife: wumbuḷŋana
wind: wabulu
wind: walulu
wing: ɟaːlu
wing: n-ɟaḷu
woman: ɟanawa
woman: giriya
woman: giriya
woman: guṇḍaṇgiɟi
woman: n-ɟanawa
wood: dabaliːa
wood: ḍabaliya
wood: ḍabaliya
wood: ḍuguḍugu
wood: waḍgar
woomera: ŋaḷiga
woomera: waṛuṛgu
woomera: wuɟula
worm: ŋaḷarŋaḷar
yellow: baṛabmin
yellow: gilwir-min
yesterday: waṇḍaɟba
yes: yoː
you two: nuriɟi
you two: ṇuru-ɲa
you two: ṇuru-ɲa
you two: nuryi
