night: wutʰ
nose: tagay
nose: tïkay
not: gayak
not: gayakʰ
not: kayak
not: ta
old: madnyi
old: madnyi
one: mba-
one: mba-
one: mbɛn
other: ma
person: namarawt
person: narmang
pull: tɨkak-
push: ak-
rain: kʰʊbut
rain: wali
rain: wali
rat: giga
rat: giga
rat: kika
right: ampan
river: marmp-
road: yaw
road: yaw
road: yaw
root: binang
root: binʌŋ
rope: yawkawp
rub: pul-
say: tmi-
see: naga day
see: nʌga day
see: tay-
sharp: wapi-
short: parmpa-
shoulder: nambunum
shoulder: nʌmbunum
sister: abak
sister: abakʰ
sister: apak
sit: tandok
sit: tandon
sit: tandon ~ tandok
sit: taw-
skin: narem
skin: narm
skin: nʌrɛm
sleep: pʰramʊŋ
small: watǯagɛn
small: waydzhagen
small: wʌcaɣɨn
smell: marm
smoke: ikn
smoke: yɪgɪn
snake: wakïn
snake: waɣɨndɨt
snake: wëgan
snake: wəgʌn
spit: kiaŋ
stand: irm-
stand: yambalak
stand: yambalak
star: awak
star: awak
star: awakʰ
stone: ilubung
stone: ilubuŋ
stone: irpuŋ
stone: taki
stone: taki
straight: kratŋk-
sun: tïmal
sun: timeli
sun: tmal
sun: tɪmɛli
tail: bip
tail: bip
there: m-nti
there: ta-n
thou: ipwa
thou: mi
thou: mi
three: -ramnaw
three: tamunum
three: yamblenduvat
three: yʌmblɛndußat
throw: wampaki-
today: kwarkwa
tomorrow: ngarïng
tomorrow: ŋarɨŋ
tongue: mïnyïng
tongue: mɨŋɨŋ
tongue: mɪnying
tooth: mbʌŋ
tooth: tïrïng
tooth: tʌriŋgi
tooth: tɨrɨŋ
tree: yan
tree: yan
tree: yan
tree: yara
turn: way-
two: impumpal
two: -rpal
two: yimbumbali
two: yɪmbumbali
vagina: takt
walk: kulanaŋ
walk: mul-
walk: wa-
walk: wa-
wallaby: warkabwi
wallaby: warkabwi
wallaby: warkapwi
warm: upwi
warm: wußikʰandʌgʌn
warm: wußɨkʰandʌgʌn
warm: wuvi-kandagan
wash: tɨpaŋ
wash: tuku-
water: arem
water: arɛm
water: arïm
water: arɨm
weep: iray
we (excl.): yibä
we: ipa
we: i-pa
we two (incl.): kapa
we two: k-a-pa
we two: pangkït
we: yi-vä
what: wara
when: ntuk-mpat
where: taŋki
white: yarazhiging
white: yaražigiŋ
white: yarʌsukŋgwi
who: naw-n
wife: narman
wind: waʎ
wing: nambonum
wing: nambonum
wing: nampunɨm
woman: narmaŋ
woman: narmei
woman: narmɛl
wood: ampra
wood: yanɨŋ
wood: yara
worm: kɨlɨŋpaŋ
yellow: tumpwik
yesterday: ngarïng
yesterday: ŋarɨŋ
yes: yaw
you: i-pwa
you two: kapwa
you two: ka-pwa
you two: pangkït
