all: te\ or duto
big: (ma)duoŋ
bird: winyo
black: dičɔl
dirty: (mo)čido
dog: guok
ear: it
egg: tong\
fingernail: kok
fire: mach
fish: rech
I: an
long: (ma)bor
many: mang\eny
meat: remo
mouth: dhok
new: (ma)nyɪɛn
nose: um
one: achiel
person: ng\ato
seed: kodhi
seed: kodthi
small: (ma)tɪn
straight: tɪr
that: ma\cha
this: ma
thou: in
tree: yath
two: ariyo
warm: (ma)mor
we: wan
who: ng\a
woman: dhako / nyako (girl)
