# IPA -> ASJP projection coverage (scripts/asjp.py).
records_projected	286915
records_empty_asjp	61
segments	1485713
segments_mapped	1483854
segments_dropped	1859
coverage_pct	99.87
distinct_classes_used	40
invalid_chars_emitted	0

# ASJP class frequency (should be a subset of the 41 classes)
class	n
a	234446
i	154685
o	102522
u	102521
n	96206
e	93823
m	72922
r	69726
k	66848
t	57014
g	52194
l	45483
b	43300
d	37605
w	34599
s	32561
p	29206
N	25652
h	20430
E	19939
y	14165
T	10846
f	10597
3	10553
7	9119
v	9048
5	4641
x	4580
z	3797
C	2863
S	2655
j	2202
!	1911
q	1631
8	1060
Z	712
G	596
L	567
X	537
c	92

# Top dropped segments (no ASJP class -> coverage loss; audit)
segment	n
E	174
L	169
T	166
V	123
I	116
A	80
H	78
N	58
B	53
D	50
G	47
R	40
ı	38
Q	37
э	36
M	36
¶	32
≈	30
Ļ:	29
∼	29
X	26
Ļ	22
U	22
K	22
S	22
§	21
¬	20
	20
F	19
O	17
