identifier	encoding	kind	kept	dropped
rosettaproject_ate_swadesh-1	utf-8	transcription	397	70
rosettaproject_auk_swadesh-1	utf-8	transcription	54	23
rosettaproject_aun_swadesh-1	utf-8	transcription	60	37
rosettaproject_auw_swadesh-1	utf-8	transcription	643	117
rosettaproject_auy_swadesh-1	utf-8	transcription	693	142
rosettaproject_ava_swadesh-1	utf-8	transcription	114	0
rosettaproject_avl_swadesh-1	utf-8	transcription	100	0
rosettaproject_avt_swadesh-1	utf-8	transcription	176	34
rosettaproject_awb_swadesh-1	utf-8	transcription	611	89
rosettaproject_awi_swadesh-1	utf-8	transcription	107	6
rosettaproject_awm_swadesh-1	utf-8	transcription	359	81
rosettaproject_awn_swadesh-1	utf-8	transcription	97	0
rosettaproject_awr_swadesh-1	utf-8	transcription	294	84
rosettaproject_awx_swadesh-1	utf-8	transcription	48	0
rosettaproject_aya_swadesh-1	utf-8	transcription	91	5
rosettaproject_ayz_swadesh-1	utf-8	transcription	719	221
rosettaproject_bam_swadesh-1	utf-8	transcription	285	6
rosettaproject_ban_swadesh-1	utf-8	transcription	180	3
rosettaproject_bbc_swadesh-1	utf-8	transcription	197	3
rosettaproject_bbd_swadesh-1	utf-8	transcription	390	115
rosettaproject_bbf_swadesh-1	utf-8	transcription	280	16
rosettaproject_bbl_swadesh-1	utf-8	transcription	118	0
rosettaproject_bbr_swadesh-1	utf-8	transcription	394	98
rosettaproject_bdh_swadesh-1	utf-8	transcription	24	1
rosettaproject_bdi_swadesh-1	utf-8	transcription	95	0
rosettaproject_bdq_swadesh-1	utf-8	transcription	91	1
rosettaproject_bds_swadesh-1	utf-8	transcription	188	1
rosettaproject_bdw_swadesh-1	utf-8	transcription	351	68
rosettaproject_bdy_swadesh-1	utf-8	transcription	785	143
rosettaproject_bef_swadesh-1	utf-8	transcription	255	6
rosettaproject_bej_swadesh-1	utf-8	transcription	130	1
rosettaproject_beo_swadesh-1	utf-8	transcription	429	142
rosettaproject_beu_swadesh-1	utf-8	transcription	629	255
rosettaproject_bey_swadesh-1	utf-8	transcription	73	28
rosettaproject_bfa_swadesh-1	utf-8	transcription	11	0
rosettaproject_bfn_swadesh-1	utf-8	transcription	305	58
rosettaproject_bfw_swadesh-1	utf-8	transcription	95	0
rosettaproject_bgo_swadesh-1	utf-8	transcription	24	0
rosettaproject_bgv_swadesh-1	utf-8	transcription	109	56
rosettaproject_bhf_swadesh-1	utf-8	transcription	573	41
rosettaproject_bhg_swadesh-1	utf-8	transcription	740	223
rosettaproject_bhl_swadesh-1	utf-8	transcription	45	0
rosettaproject_bhq_swadesh-1	utf-8	transcription	232	0
rosettaproject_bic_swadesh-1	utf-8	transcription	98	84
rosettaproject_bie_swadesh-1	utf-8	transcription	374	74
rosettaproject_bif_swadesh-1	utf-8	transcription	132	2
rosettaproject_bio_swadesh-1	utf-8	transcription	300	9
rosettaproject_bir_swadesh-1	utf-8	transcription	254	132
rosettaproject_bjc_swadesh-1	utf-8	transcription	32	26
rosettaproject_bjd_swadesh-1	utf-8	transcription	103	59
rosettaproject_bjg_swadesh-1	utf-8	transcription	323	19
rosettaproject_bjh_swadesh-1	utf-8	transcription	163	36
rosettaproject_bji_swadesh-1	utf-8	transcription	142	2
rosettaproject_bjr_swadesh-1	utf-8	transcription	186	41
rosettaproject_bjy_swadesh-1	utf-8	transcription	152	8
rosettaproject_bkc_swadesh-1	utf-8	transcription	326	2
rosettaproject_bkl_swadesh-1	utf-8	transcription	842	394
rosettaproject_blb_swadesh-1	utf-8	transcription	661	340
rosettaproject_ble_swadesh-1	utf-8	transcription	136	3
rosettaproject_blr_swadesh-1	utf-8	transcription	98	0
rosettaproject_bmd_swadesh-1	utf-8	transcription	28	1
rosettaproject_bmh_swadesh-1	utf-8	transcription	357	115
rosettaproject_bmi_swadesh-1	utf-8	transcription	241	15
