identifier	encoding	kind	kept	dropped
rosettaproject_jav_swadesh-1	utf-8	transcription	201	5
rosettaproject_jay_swadesh-1	utf-8	transcription	264	28
rosettaproject_jbj_swadesh-1	utf-8	transcription	556	181
rosettaproject_jbn_swadesh-1	utf-8	transcription	99	0
rosettaproject_jeh_swadesh-1	utf-8	transcription	90	0
rosettaproject_jei_swadesh-1	utf-8	transcription	346	17
rosettaproject_jel_swadesh-1	utf-8	transcription	503	132
rosettaproject_jet_swadesh-1	utf-8	transcription	664	108
rosettaproject_jig_swadesh-1	utf-8	transcription	391	20
rosettaproject_jil_swadesh-1	utf-8	transcription	343	106
rosettaproject_jko_swadesh-1	utf-8	transcription	247	21
rosettaproject_jle_swadesh-1	utf-8	transcription	199	0
rosettaproject_jma_swadesh-1	utf-8	transcription	62	14
rosettaproject_jmi_swadesh-1	utf-8	transcription	50	0
rosettaproject_jng_swadesh-1	utf-8	transcription	240	5
rosettaproject_jnj_swadesh-1	utf-8	transcription	97	0
rosettaproject_jpn_swadesh-1	utf-8	transcription	78	0
rosettaproject_jum_swadesh-1	utf-8	transcription	96	0
rosettaproject_jun_swadesh-1	utf-8	transcription	90	1
rosettaproject_kab_swadesh-1	utf-8	transcription	147	2
rosettaproject_kan_swadesh-1	utf-8	transcription	103	2
rosettaproject_kap_swadesh-1	utf-8	transcription	117	4
rosettaproject_kbd_swadesh-1	utf-8	transcription	113	0
rosettaproject_kbe_swadesh-1	utf-8	transcription	94	2
rosettaproject_kbk_swadesh-1	utf-8	transcription	240	54
rosettaproject_kbl_swadesh-1	utf-8	transcription	120	2
rosettaproject_kbq_swadesh-1	utf-8	transcription	307	48
rosettaproject_kbr_swadesh-1	utf-8	transcription	99	0
rosettaproject_kbv_swadesh-1	utf-8	transcription	371	190
rosettaproject_kbx_swadesh-1	utf-8	transcription	154	22
rosettaproject_kcb_swadesh-1	utf-8	transcription	100	0
rosettaproject_kcm_swadesh-1	utf-8	transcription	52	1
rosettaproject_kcn_swadesh-1	utf-8	transcription	94	0
rosettaproject_kco_swadesh-1	utf-8	transcription	53	0
rosettaproject_kcp_swadesh-1	utf-8	transcription	137	6
rosettaproject_kcr_swadesh-1	utf-8	transcription	92	2
rosettaproject_kct_swadesh-1	utf-8	transcription	162	42
rosettaproject_kcx_swadesh-1	utf-8	transcription	96	0
rosettaproject_kdj_swadesh-1	utf-8	transcription	1	0
rosettaproject_kdw_swadesh-1	utf-8	transcription	177	16
rosettaproject_kec_swadesh-1	utf-8	transcription	286	13
rosettaproject_keg_swadesh-1	utf-8	transcription	14	1
rosettaproject_kek_swadesh-1	utf-8	transcription	143	1
rosettaproject_kew_swadesh-1	utf-8	transcription	232	96
rosettaproject_kfa_swadesh-1	utf-8	transcription	83	0
rosettaproject_kfb_swadesh-1	utf-8	transcription	76	0
rosettaproject_kfc_swadesh-1	utf-8	transcription	76	0
rosettaproject_kfe_swadesh-1	utf-8	transcription	80	0
rosettaproject_kfp_swadesh-1	utf-8	transcription	85	0
rosettaproject_kgf_swadesh-1	utf-8	transcription	201	96
rosettaproject_kgg_swadesh-1	utf-8	transcription	494	66
rosettaproject_kgl_swadesh-1	utf-8	transcription	246	11
rosettaproject_kgo_swadesh-1	utf-8	transcription	644	40
rosettaproject_kgq_swadesh-1	utf-8	transcription	250	104
rosettaproject_kgr_swadesh-1	utf-8	transcription	525	156
rosettaproject_kgs_swadesh-1	utf-8	transcription	329	20
rosettaproject_kgu_swadesh-1	utf-8	transcription	170	1
rosettaproject_kgv_swadesh-1	utf-8	transcription	158	41
rosettaproject_kgw_swadesh-1	utf-8	transcription	113	90
rosettaproject_khe_swadesh-1	utf-8	transcription	194	1
rosettaproject_kib_swadesh-1	utf-8	transcription	309	6
rosettaproject_kie_swadesh-1	utf-8	transcription	172	2
rosettaproject_kig_swadesh-1	utf-8	transcription	458	80
rosettaproject_kih_swadesh-1	utf-8	transcription	8	0
rosettaproject_kij_swadesh-1	utf-8	transcription	181	2
rosettaproject_kiq_swadesh-1	utf-8	transcription	172	39
rosettaproject_kit_swadesh-1	utf-8	transcription	998	340
rosettaproject_kiw_swadesh-1	utf-8	transcription	713	262
rosettaproject_kiy_swadesh-1	utf-8	transcription	389	262
rosettaproject_kja_swadesh-1	utf-8	transcription	168	36
rosettaproject_kjc_swadesh-1	utf-8	transcription	183	3
rosettaproject_kjd_swadesh-1	utf-8	transcription	930	955
rosettaproject_kjg_swadesh-1	utf-8	transcription	176	15
rosettaproject_kjj_swadesh-1	utf-8	transcription	111	0
rosettaproject_kjs_swadesh-1	utf-8	transcription	86	61
rosettaproject_kjx_swadesh-1	utf-8	transcription	151	7
rosettaproject_kjy_swadesh-1	utf-8	transcription	389	112
rosettaproject_kkb_swadesh-1	utf-8	transcription	41	41
rosettaproject_kkc_swadesh-1	utf-8	transcription	294	79
rosettaproject_kkl_swadesh-1	utf-8	transcription	984	312
rosettaproject_kky_swadesh-1	utf-8	transcription	459	20
rosettaproject_kld_swadesh-1	utf-8	transcription	272	87
rosettaproject_klm_swadesh-1	utf-8	transcription	343	69
rosettaproject_klp_swadesh-1	utf-8	transcription	99	0
rosettaproject_klq_swadesh-1	utf-8	transcription	236	98
rosettaproject_klt_swadesh-1	utf-8	transcription	85	20
rosettaproject_klz_swadesh-1	utf-8	transcription	344	108
rosettaproject_kmf_swadesh-1	utf-8	transcription	407	97
rosettaproject_kmh_swadesh-1	utf-8	transcription	63	0
rosettaproject_kmk_swadesh-1	utf-8	transcription	186	3
rosettaproject_kmn_swadesh-1	utf-8	transcription	389	183
rosettaproject_kmo_swadesh-1	utf-8	transcription	493	50
rosettaproject_kmq_swadesh-1	utf-8	transcription	276	8
rosettaproject_kms_swadesh-1	utf-8	transcription	600	570
rosettaproject_kmt_swadesh-1	utf-8	transcription	435	181
rosettaproject_kmu_swadesh-1	utf-8	transcription	9	0
rosettaproject_kmx_swadesh-1	utf-8	transcription	356	157
rosettaproject_knc_swadesh-1	utf-8	transcription	459	22
rosettaproject_knd_swadesh-1	utf-8	transcription	172	46
rosettaproject_knf_swadesh-1	utf-8	transcription	256	15
rosettaproject_kns_swadesh-1	utf-8	transcription	101	0
rosettaproject_knv_swadesh-1	utf-8	transcription	376	94
rosettaproject_knw_swadesh-1	utf-8	transcription	298	37
rosettaproject_koe_swadesh-1	utf-8	transcription	81	0
rosettaproject_kol_swadesh-1	utf-8	transcription	161	7
rosettaproject_kop_swadesh-1	utf-8	transcription	332	126
rosettaproject_koz_swadesh-1	utf-8	transcription	351	107
rosettaproject_kpf_swadesh-1	utf-8	transcription	237	66
rosettaproject_kpq_swadesh-1	utf-8	transcription	54	26
rosettaproject_kpr_swadesh-1	utf-8	transcription	219	36
rosettaproject_kps_swadesh-1	utf-8	transcription	955	123
rosettaproject_kpu_swadesh-1	utf-8	transcription	190	40
rosettaproject_kpw_swadesh-1	utf-8	transcription	465	62
rosettaproject_kpx_swadesh-1	utf-8	transcription	795	349
rosettaproject_kqb_swadesh-1	utf-8	transcription	38	0
rosettaproject_kqi_swadesh-1	utf-8	transcription	770	150
rosettaproject_kqj_swadesh-1	utf-8	transcription	271	51
rosettaproject_krc_swadesh-1	utf-8	transcription	205	0
rosettaproject_krd_swadesh-1	utf-8	transcription	1	0
rosettaproject_krs_swadesh-1	utf-8	transcription	402	25
rosettaproject_kru_swadesh-1	utf-8	transcription	50	0
rosettaproject_ksd_swadesh-1	utf-8	transcription	183	2
rosettaproject_ksj_swadesh-1	utf-8	transcription	396	6
rosettaproject_ksr_swadesh-1	utf-8	transcription	224	70
rosettaproject_ktb_swadesh-1	utf-8	transcription	329	3
rosettaproject_ktg_swadesh-1	utf-8	transcription	344	10
rosettaproject_kto_swadesh-1	utf-8	transcription	442	9
rosettaproject_kue_swadesh-1	utf-8	transcription	662	222
rosettaproject_kuo_swadesh-1	utf-8	transcription	51	0
rosettaproject_kup_swadesh-1	utf-8	transcription	430	175
rosettaproject_kux_swadesh-1	utf-8	transcription	17	0
rosettaproject_kuy_swadesh-1	utf-8	transcription	61	0
rosettaproject_kvo_swadesh-1	utf-8	transcription	182	2
rosettaproject_kwe_swadesh-1	utf-8	transcription	594	108
rosettaproject_kwl_swadesh-1	utf-8	transcription	67	0
rosettaproject_kwo_swadesh-1	utf-8	transcription	306	9
rosettaproject_kwt_swadesh-1	utf-8	transcription	520	156
rosettaproject_kxc_swadesh-1	utf-8	transcription	97	0
rosettaproject_kxh_swadesh-1	utf-8	transcription	54	0
rosettaproject_kxu_swadesh-1	utf-8	transcription	74	0
rosettaproject_kxv_swadesh-1	utf-8	transcription	71	0
rosettaproject_kxw_swadesh-1	utf-8	transcription	174	19
rosettaproject_kxz_swadesh-1	utf-8	transcription	311	93
rosettaproject_kyo_swadesh-1	utf-8	transcription	267	83
rosettaproject_kyt_swadesh-1	utf-8	transcription	114	88
rosettaproject_kyx_swadesh-1	utf-8	transcription	354	7
rosettaproject_kzf_swadesh-1	utf-8	transcription	184	3
rosettaproject_kzh_swadesh-1	utf-8	transcription	571	164
rosettaproject_kzk_swadesh-1	utf-8	transcription	152	78
rosettaproject_kzm_swadesh-1	utf-8	transcription	255	35
rosettaproject_kzz_swadesh-1	utf-8	transcription	159	26
rosettaproject_laf_swadesh-1	utf-8	transcription	567	11
rosettaproject_lat_swadesh-1	utf-8	transcription	181	0
rosettaproject_lbe_swadesh-1	utf-8	transcription	114	0
rosettaproject_ldm_swadesh-1	utf-8	transcription	151	3
rosettaproject_lei_swadesh-1	utf-8	transcription	328	60
rosettaproject_lep_swadesh-1	utf-8	transcription	111	0
rosettaproject_leq_swadesh-1	utf-8	transcription	297	15
rosettaproject_lev_swadesh-1	utf-8	transcription	327	123
rosettaproject_lgn_swadesh-1	utf-8	transcription	239	7
rosettaproject_lgt_swadesh-1	utf-8	transcription	55	20
rosettaproject_lid_swadesh-1	utf-8	transcription	181	2
rosettaproject_liq_swadesh-1	utf-8	transcription	81	0
rosettaproject_liu_swadesh-1	utf-8	transcription	173	4
rosettaproject_liv_swadesh-1	utf-8	transcription	53	0
rosettaproject_lkl_swadesh-1	utf-8	transcription	20	0
rosettaproject_lll_swadesh-1	utf-8	transcription	107	0
rosettaproject_llu_swadesh-1	utf-8	transcription	178	2
rosettaproject_lml_swadesh-1	utf-8	transcription	167	2
rosettaproject_lnj_swadesh-1	utf-8	transcription	224	5
rosettaproject_loa_swadesh-1	utf-8	transcription	454	162
rosettaproject_lof_swadesh-1	utf-8	transcription	283	3
rosettaproject_lot_swadesh-1	utf-8	transcription	10	0
rosettaproject_lrg_swadesh-1	utf-8	transcription	490	5
rosettaproject_lro_swadesh-1	utf-8	transcription	181	1
rosettaproject_ltz_swadesh-1	utf-8	transcription	101	0
rosettaproject_luf_swadesh-1	utf-8	transcription	94	1
rosettaproject_lun_swadesh-1	utf-8	transcription	92	0
rosettaproject_luo_swadesh-1	utf-8	transcription	33	0
rosettaproject_lwo_swadesh-1	utf-8	transcription	26	0
rosettaproject_lww_swadesh-1	utf-8	transcription	181	2
rosettaproject_mad_swadesh-1	utf-8	transcription	185	3
rosettaproject_mah_swadesh-1	utf-8	transcription	181	2
rosettaproject_mai_swadesh-1	utf-8	transcription	98	0
rosettaproject_mal_swadesh-1	utf-8	transcription	97	0
rosettaproject_mam_swadesh-1	utf-8	transcription	143	1
rosettaproject_mas_swadesh-1	utf-8	transcription	45	0
rosettaproject_mci_swadesh-1	utf-8	transcription	245	60
rosettaproject_mcr_swadesh-1	utf-8	transcription	101	0
rosettaproject_mcv_swadesh-1	utf-8	transcription	215	76
rosettaproject_mcz_swadesh-1	utf-8	transcription	363	125
rosettaproject_mdb_swadesh-1	utf-8	transcription	217	84
rosettaproject_mdc_swadesh-1	utf-8	transcription	350	86
rosettaproject_mde_swadesh-1	utf-8	transcription	564	25
rosettaproject_mdf_swadesh-1	utf-8	transcription	194	0
rosettaproject_mdj_swadesh-1	utf-8	transcription	337	8
rosettaproject_mds_swadesh-1	utf-8	transcription	1031	484
rosettaproject_mdx_swadesh-1	utf-8	transcription	101	0
rosettaproject_mdy_swadesh-1	utf-8	transcription	99	0
rosettaproject_meb_swadesh-1	utf-8	transcription	293	111
rosettaproject_mec_swadesh-1	utf-8	transcription	583	47
rosettaproject_med_swadesh-1	utf-8	transcription	154	61
rosettaproject_mej_swadesh-1	utf-8	transcription	619	208
rosettaproject_mek_swadesh-1	utf-8	transcription	202	4
rosettaproject_mem_swadesh-1	utf-8	transcription	28	0
rosettaproject_mep_swadesh-1	utf-8	transcription	17	0
rosettaproject_meu_swadesh-1	utf-8	transcription	182	2
rosettaproject_mfc_swadesh-1	utf-8	transcription	227	4
rosettaproject_mfe_swadesh-1	utf-8	transcription	96	0
rosettaproject_mfr_swadesh-1	utf-8	transcription	174	89
rosettaproject_mfv_swadesh-1	utf-8	transcription	91	1
rosettaproject_mfw_swadesh-1	utf-8	transcription	272	130
rosettaproject_mfz_swadesh-1	utf-8	transcription	95	0
rosettaproject_mgb_swadesh-1	utf-8	transcription	54	0
rosettaproject_mgf_swadesh-1	utf-8	transcription	393	70
rosettaproject_mgk_swadesh-1	utf-8	transcription	229	115
rosettaproject_mgu_swadesh-1	utf-8	transcription	708	436
rosettaproject_mgx_swadesh-1	utf-8	transcription	112	82
rosettaproject_mha_swadesh-1	utf-8	transcription	58	0
rosettaproject_mhd_swadesh-1	utf-8	transcription	242	1
rosettaproject_mhf_swadesh-1	utf-8	transcription	52	0
rosettaproject_mhg_swadesh-1	utf-8	transcription	250	18
rosettaproject_mhl_swadesh-1	utf-8	transcription	370	83
rosettaproject_mhs_swadesh-1	utf-8	transcription	183	2
rosettaproject_mic_swadesh-1	utf-8	transcription	169	0
rosettaproject_mid_swadesh-1	utf-8	transcription	93	0
rosettaproject_mif_swadesh-1	utf-8	transcription	51	0
rosettaproject_min_swadesh-1	utf-8	transcription	185	3
rosettaproject_miw_swadesh-1	utf-8	transcription	100	0
rosettaproject_mjj_swadesh-1	utf-8	transcription	390	69
rosettaproject_mjt_swadesh-1	utf-8	transcription	52	0
rosettaproject_mjw_swadesh-1	utf-8	transcription	205	0
rosettaproject_mkc_swadesh-1	utf-8	transcription	79	21
rosettaproject_mkp_swadesh-1	utf-8	transcription	31	24
rosettaproject_mkr_swadesh-1	utf-8	transcription	320	117
rosettaproject_mkz_swadesh-1	utf-8	transcription	207	54
rosettaproject_mle_swadesh-1	utf-8	transcription	302	27
rosettaproject_mlh_swadesh-1	utf-8	transcription	290	116
rosettaproject_mlp_swadesh-1	utf-8	transcription	318	180
rosettaproject_mmi_swadesh-1	utf-8	transcription	398	63
rosettaproject_mmp_swadesh-1	utf-8	transcription	190	30
rosettaproject_mmq_swadesh-1	utf-8	transcription	396	73
rosettaproject_mna_swadesh-1	utf-8	transcription	179	2
rosettaproject_mnw_swadesh-1	utf-8	transcription	101	0
rosettaproject_mnx_swadesh-1	utf-8	transcription	345	42
rosettaproject_mnz_swadesh-1	utf-8	transcription	450	175
rosettaproject_mok_swadesh-1	utf-8	transcription	227	18
rosettaproject_moq_swadesh-1	utf-8	transcription	178	38
rosettaproject_mor_swadesh-1	utf-8	transcription	302	4
rosettaproject_mpb_swadesh-1	utf-8	transcription	221	3
rosettaproject_mpc_swadesh-1	utf-8	transcription	488	32
rosettaproject_mpe_swadesh-1	utf-8	transcription	96	0
rosettaproject_mph_swadesh-1	utf-8	transcription	539	50
rosettaproject_mpj_swadesh-1	utf-8	transcription	31	0
rosettaproject_mpp_swadesh-1	utf-8	transcription	51	0
rosettaproject_mps_swadesh-1	utf-8	transcription	169	69
rosettaproject_mpt_swadesh-1	utf-8	transcription	47	1
rosettaproject_mpv_swadesh-1	utf-8	transcription	47	0
rosettaproject_mqe_swadesh-1	utf-8	transcription	364	109
rosettaproject_mqf_swadesh-1	utf-8	transcription	133	34
rosettaproject_mqo_swadesh-1	utf-8	transcription	444	120
rosettaproject_mqr_swadesh-1	utf-8	transcription	118	40
rosettaproject_mqs_swadesh-1	utf-8	transcription	357	10
rosettaproject_mqv_swadesh-1	utf-8	transcription	339	123
rosettaproject_mqw_swadesh-1	utf-8	transcription	372	127
rosettaproject_mqy_swadesh-1	utf-8	transcription	182	3
rosettaproject_mra_swadesh-1	utf-8	transcription	89	0
rosettaproject_mrf_swadesh-1	utf-8	transcription	418	93
rosettaproject_mrx_swadesh-1	utf-8	transcription	18	6
rosettaproject_mrz_swadesh-1	utf-8	transcription	804	170
rosettaproject_msf_swadesh-1	utf-8	transcription	437	151
rosettaproject_msg_swadesh-1	utf-8	transcription	168	19
rosettaproject_msj_swadesh-1	utf-8	transcription	223	3
rosettaproject_msl_swadesh-1	utf-8	transcription	143	75
rosettaproject_mso_swadesh-1	utf-8	transcription	521	68
rosettaproject_msx_swadesh-1	utf-8	transcription	499	45
rosettaproject_msy_swadesh-1	utf-8	transcription	178	8
rosettaproject_msz_swadesh-1	utf-8	transcription	51	0
rosettaproject_mtc_swadesh-1	utf-8	transcription	390	104
rosettaproject_mtf_swadesh-1	utf-8	transcription	353	117
rosettaproject_mtg_swadesh-1	utf-8	transcription	162	32
rosettaproject_mtj_swadesh-1	utf-8	transcription	171	60
rosettaproject_mtv_swadesh-1	utf-8	transcription	49	0
rosettaproject_mty_swadesh-1	utf-8	transcription	59	30
rosettaproject_mur_swadesh-1	utf-8	transcription	255	7
rosettaproject_muu_swadesh-1	utf-8	transcription	80	0
rosettaproject_muz_swadesh-1	utf-8	transcription	150	4
rosettaproject_mva_swadesh-1	utf-8	transcription	184	2
rosettaproject_mvq_swadesh-1	utf-8	transcription	336	70
rosettaproject_mwb_swadesh-1	utf-8	transcription	252	11
rosettaproject_mwd_swadesh-1	utf-8	transcription	40	0
rosettaproject_mwf_swadesh-1	utf-8	transcription	163	7
rosettaproject_mwp_swadesh-1	utf-8	transcription	138	11
rosettaproject_mww_swadesh-1	utf-8	transcription	101	0
rosettaproject_mxe_swadesh-1	utf-8	transcription	182	2
rosettaproject_mxf_swadesh-1	utf-8	transcription	27	0
rosettaproject_mxk_swadesh-1	utf-8	transcription	377	8
rosettaproject_mxn_swadesh-1	utf-8	transcription	1107	438
rosettaproject_myb_swadesh-1	utf-8	transcription	26	0
rosettaproject_mym_swadesh-1	utf-8	transcription	97	0
rosettaproject_mzb_swadesh-1	utf-8	transcription	189	167
rosettaproject_mze_swadesh-1	utf-8	transcription	187	79
rosettaproject_mzu_swadesh-1	utf-8	transcription	21	7
rosettaproject_nas_swadesh-1	utf-8	transcription	465	50
rosettaproject_nax_swadesh-1	utf-8	transcription	241	79
rosettaproject_nbj_swadesh-1	utf-8	transcription	18	0
rosettaproject_nbk_swadesh-1	utf-8	transcription	374	115
rosettaproject_nbq_swadesh-1	utf-8	transcription	19	0
rosettaproject_nbx_swadesh-1	utf-8	transcription	472	43
rosettaproject_nby_swadesh-1	utf-8	transcription	1	0
rosettaproject_nca_swadesh-1	utf-8	transcription	51	0
rosettaproject_nce_swadesh-1	utf-8	transcription	439	15
rosettaproject_nck_swadesh-1	utf-8	transcription	30	1
rosettaproject_ncm_swadesh-1	utf-8	transcription	630	243
rosettaproject_nco_swadesh-1	utf-8	transcription	319	22
rosettaproject_ndt_swadesh-1	utf-8	transcription	215	4
rosettaproject_ndv_swadesh-1	utf-8	transcription	133	1
rosettaproject_ndx_swadesh-1	utf-8	transcription	111	4
rosettaproject_ndz_swadesh-1	utf-8	transcription	7	0
rosettaproject_nec_swadesh-1	utf-8	transcription	191	37
rosettaproject_nej_swadesh-1	utf-8	transcription	31	0
rosettaproject_nem_swadesh-1	utf-8	transcription	183	2
rosettaproject_nen_swadesh-1	utf-8	transcription	178	2
rosettaproject_ner_swadesh-1	utf-8	transcription	208	0
rosettaproject_net_swadesh-1	utf-8	transcription	82	0
rosettaproject_new_swadesh-1	utf-8	transcription	129	0
rosettaproject_nga_swadesh-1	utf-8	transcription	414	15
rosettaproject_ngh_swadesh-1	utf-8	transcription	389	51
rosettaproject_ngk_swadesh-1	utf-8	transcription	643	82
rosettaproject_ngr_swadesh-1	utf-8	transcription	472	30
rosettaproject_nhr_swadesh-1	utf-8	transcription	337	24
rosettaproject_nib_swadesh-1	utf-8	transcription	51	0
rosettaproject_nid_swadesh-1	utf-8	transcription	562	23
rosettaproject_nif_swadesh-1	utf-8	transcription	51	0
rosettaproject_nig_swadesh-1	utf-8	transcription	519	23
rosettaproject_nir_swadesh-1	utf-8	transcription	441	133
rosettaproject_nis_swadesh-1	utf-8	transcription	53	0
rosettaproject_nit_swadesh-1	utf-8	transcription	66	0
rosettaproject_niv_swadesh-1	utf-8	transcription	63	0
rosettaproject_niw_swadesh-1	utf-8	transcription	258	88
rosettaproject_niz_swadesh-1	utf-8	transcription	181	17
rosettaproject_nji_swadesh-1	utf-8	transcription	17	0
rosettaproject_njl_swadesh-1	utf-8	transcription	2	0
rosettaproject_nlc_swadesh-1	utf-8	transcription	59	35
rosettaproject_nld_swadesh-1	utf-8	transcription	371	32
rosettaproject_nna_swadesh-1	utf-8	transcription	30	0
rosettaproject_nnt_swadesh-1	utf-8	transcription	104	0
rosettaproject_noc_swadesh-1	utf-8	transcription	51	0
rosettaproject_noh_swadesh-1	utf-8	transcription	53	0
rosettaproject_nop_swadesh-1	utf-8	transcription	52	0
rosettaproject_nou_swadesh-1	utf-8	transcription	57	19
rosettaproject_noz_swadesh-1	utf-8	transcription	98	0
rosettaproject_nqm_swadesh-1	utf-8	transcription	337	39
rosettaproject_nsg_swadesh-1	utf-8	transcription	7	0
rosettaproject_nud_swadesh-1	utf-8	transcription	300	18
rosettaproject_nug_swadesh-1	utf-8	transcription	55	0
rosettaproject_nus_swadesh-1	utf-8	transcription	299	0
rosettaproject_nux_swadesh-1	utf-8	transcription	69	35
rosettaproject_nuy_swadesh-1	utf-8	transcription	676	31
rosettaproject_nxr_swadesh-1	utf-8	transcription	165	9
rosettaproject_nxu_swadesh-1	utf-8	transcription	23	9
rosettaproject_nyh_swadesh-1	utf-8	transcription	19	0
rosettaproject_nyi_swadesh-1	utf-8	transcription	122	6
rosettaproject_nyp_swadesh-1	utf-8	transcription	94	2
rosettaproject_nys_swadesh-1	utf-8	transcription	210	6
rosettaproject_nyt_swadesh-1	utf-8	transcription	222	8
rosettaproject_nyw_swadesh-1	utf-8	transcription	21	0
rosettaproject_ojs_swadesh-1	utf-8	transcription	204	0
rosettaproject_okj_swadesh-1	utf-8	transcription	685	68
rosettaproject_omo_swadesh-1	utf-8	transcription	373	90
rosettaproject_ong_swadesh-1	utf-8	transcription	154	28
rosettaproject_onj_swadesh-1	utf-8	transcription	45	22
rosettaproject_onn_swadesh-1	utf-8	transcription	227	112
rosettaproject_ons_swadesh-1	utf-8	transcription	314	138
rosettaproject_opm_swadesh-1	utf-8	transcription	315	10
rosettaproject_opo_swadesh-1	utf-8	transcription	128	90
rosettaproject_oro_swadesh-1	utf-8	transcription	593	150
rosettaproject_otr_swadesh-1	utf-8	transcription	315	8
rosettaproject_oua_swadesh-1	utf-8	transcription	218	1
rosettaproject_oun_swadesh-1	utf-8	transcription	284	35
rosettaproject_owi_swadesh-1	utf-8	transcription	224	102
rosettaproject_oyd_swadesh-1	utf-8	transcription	96	0
rosettaproject_pag_swadesh-1	utf-8	transcription	257	1
rosettaproject_pam_swadesh-1	utf-8	transcription	139	1
rosettaproject_pap_swadesh-1	utf-8	transcription	102	0
rosettaproject_pbo_swadesh-1	utf-8	transcription	127	1
rosettaproject_pbp_swadesh-1	utf-8	transcription	120	1
rosettaproject_pbt_swadesh-1	utf-8	transcription	99	0
rosettaproject_pby_swadesh-1	utf-8	transcription	237	49
rosettaproject_pci_swadesh-1	utf-8	transcription	74	0
rosettaproject_pda_swadesh-1	utf-8	transcription	379	93
rosettaproject_pdc_swadesh-1	utf-8	transcription	120	0
rosettaproject_ped_swadesh-1	utf-8	transcription	344	120
rosettaproject_peg_swadesh-1	utf-8	transcription	63	0
rosettaproject_pep_swadesh-1	utf-8	transcription	226	87
rosettaproject_pes_swadesh-1	utf-8	transcription	100	0
rosettaproject_pgu_swadesh-1	utf-8	transcription	528	410
rosettaproject_pjt_swadesh-1	utf-8	transcription	19	0
rosettaproject_pla_swadesh-1	utf-8	transcription	211	10
rosettaproject_plw_swadesh-1	utf-8	transcription	184	3
rosettaproject_pma_swadesh-1	utf-8	transcription	182	2
rosettaproject_pmr_swadesh-1	utf-8	transcription	376	79
rosettaproject_pnb_swadesh-1	utf-8	transcription	194	0
rosettaproject_pnn_swadesh-1	utf-8	transcription	582	44
rosettaproject_pnr_swadesh-1	utf-8	transcription	338	125
rosettaproject_pnw_swadesh-1	utf-8	transcription	272	5
rosettaproject_poc_swadesh-1	utf-8	transcription	258	31
rosettaproject_pol_swadesh-1	utf-8	transcription	216	8
rosettaproject_pon_swadesh-1	utf-8	transcription	180	2
rosettaproject_por_swadesh-1	utf-8	transcription	305	345
rosettaproject_ppe_swadesh-1	utf-8	transcription	135	38
rosettaproject_ppk_swadesh-1	utf-8	transcription	182	3
rosettaproject_ppo_swadesh-1	utf-8	transcription	746	346
rosettaproject_ppq_swadesh-1	utf-8	transcription	70	0
rosettaproject_ppt_swadesh-1	utf-8	transcription	248	53
rosettaproject_pqm_swadesh-1	utf-8	transcription	159	0
rosettaproject_prm_swadesh-1	utf-8	transcription	185	98
rosettaproject_pru_swadesh-1	utf-8	transcription	182	29
rosettaproject_prw_swadesh-1	utf-8	transcription	361	93
rosettaproject_psa_swadesh-1	utf-8	transcription	363	70
rosettaproject_pss_swadesh-1	utf-8	transcription	181	2
rosettaproject_puo_swadesh-1	utf-8	transcription	94	1
rosettaproject_pup_swadesh-1	utf-8	transcription	300	77
rosettaproject_pwa_swadesh-1	utf-8	transcription	387	112
rosettaproject_pwm_swadesh-1	utf-8	transcription	182	3
rosettaproject_pwn_swadesh-1	utf-8	transcription	177	3
rosettaproject_quc_swadesh-1	utf-8	transcription	25	0
rosettaproject_rac_swadesh-1	utf-8	transcription	285	95
rosettaproject_ran_swadesh-1	utf-8	transcription	332	56
rosettaproject_rao_swadesh-1	utf-8	transcription	440	72
rosettaproject_rap_swadesh-1	utf-8	transcription	197	3
rosettaproject_ras_swadesh-1	utf-8	transcription	175	16
rosettaproject_rbb_swadesh-1	utf-8	transcription	89	0
rosettaproject_rea_swadesh-1	utf-8	transcription	299	87
rosettaproject_rel_swadesh-1	utf-8	transcription	90	0
rosettaproject_rhp_swadesh-1	utf-8	transcription	72	31
rosettaproject_rif_swadesh-1	utf-8	transcription	418	104
rosettaproject_rit_swadesh-1	utf-8	transcription	245	16
rosettaproject_rmb_swadesh-1	utf-8	transcription	234	22
rosettaproject_rmk_swadesh-1	utf-8	transcription	19	5
rosettaproject_rmp_swadesh-1	utf-8	transcription	385	96
rosettaproject_ron_swadesh-1	utf-8	transcription	220	68
rosettaproject_roo_swadesh-1	utf-8	transcription	350	82
rosettaproject_rou_swadesh-1	utf-8	transcription	502	6
rosettaproject_rpt_swadesh-1	utf-8	transcription	377	125
rosettaproject_rtm_swadesh-1	utf-8	transcription	184	2
rosettaproject_rug_swadesh-1	utf-8	transcription	185	2
rosettaproject_rus_swadesh-1	utf-8	transcription	300	249
rosettaproject_rwa_swadesh-1	utf-8	transcription	102	0
rosettaproject_rwo_swadesh-1	utf-8	transcription	50	0
rosettaproject_ryu_swadesh-1	utf-8	transcription	46	0
rosettaproject_sad_swadesh-1	utf-8	transcription	606	89
rosettaproject_saj_swadesh-1	utf-8	transcription	590	11
rosettaproject_sao_swadesh-1	utf-8	transcription	96	15
rosettaproject_sas_swadesh-1	utf-8	transcription	179	2
rosettaproject_sat_swadesh-1	utf-8	transcription	98	0
rosettaproject_sav_swadesh-1	utf-8	transcription	133	1
rosettaproject_saw_swadesh-1	utf-8	transcription	151	35
