identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_cmn_swadesh-2	cmn	root	根 gen1	kən˥	
rosettaproject_cmn_swadesh-2	cmn	round	圆 yuan2	ɥɛn˧˥	
rosettaproject_cmn_swadesh-2	cmn	sand	沙子 sha1 zi5	ʂa˥t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	say	说 shuo1	ʂwo˥	
rosettaproject_cmn_swadesh-2	cmn	see	看 kan4	kʰan˥˩	
rosettaproject_cmn_swadesh-2	cmn	seed	种子 zhong3 zi5	ʈ͡ʂʊŋ˨˩˦t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	sit	坐 zuo4	t͡swo˥˩	
rosettaproject_cmn_swadesh-2	cmn	skin	皮肤 pi2 fu1	pʰi˧˥fu˥	
rosettaproject_cmn_swadesh-2	cmn	sleep	睡眠 shui4 mian2	ʂwei˥˩mjɛn˧˥	
rosettaproject_cmn_swadesh-2	cmn	small	小 xiao3	ɕjau˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	smoke	烟 yan1	jɛn˥	
rosettaproject_cmn_swadesh-2	cmn	stand	站 zhan4	ʈ͡ʂan˥˩	
rosettaproject_cmn_swadesh-2	cmn	star	星 xing1	ɕiŋ˥	
rosettaproject_cmn_swadesh-2	cmn	stone	石头 shi2 tou5	ʂɻ̩˧˥tʰou	
rosettaproject_cmn_swadesh-2	cmn	sun	太阳 tai4 yang2	tʰai˥˩jaŋ˧˥	
rosettaproject_cmn_swadesh-2	cmn	swim	游泳 you2 yong3	jou˧˥jʊŋ˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	tail	尾巴 wei3 ba5	wei˨˩˦pa	
rosettaproject_cmn_swadesh-2	cmn	that	那 na4	na˥˩	
rosettaproject_cmn_swadesh-2	cmn	this	这 zhe4	ʈ͡ʂɤ˥˩	
rosettaproject_cmn_swadesh-2	cmn	thou	你 ni3	ni˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	tongue	舌头 she2 tou5	ʂɤ˧˥tʰou	
rosettaproject_cmn_swadesh-2	cmn	tooth	牙齿 ya2 chi3	ja˧˥ʈ͡ʂʰɻ̩˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	tree	树 shu4	ʂu˥˩	
rosettaproject_cmn_swadesh-2	cmn	two	二 er4	ɚ˥˩	
rosettaproject_cmn_swadesh-2	cmn	walk	走 zou3	t͡sou˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	warm	热 re4	ʐɤ˥˩	
rosettaproject_cmn_swadesh-2	cmn	water	水 shui3	ʂwei˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	we	我们 wo3 men5	wo˨˩˦mən	
rosettaproject_cmn_swadesh-2	cmn	what	什么 shen2 me5	ʂən˧˥mɤ	
rosettaproject_cmn_swadesh-2	cmn	white	白 bai2	pai˧˥	
rosettaproject_cmn_swadesh-2	cmn	who	谁 shei2	ʂei˧˥	
rosettaproject_cmn_swadesh-2	cmn	woman	女人 nü3 ren2	ny˨˩˦ʐən˧˥	
rosettaproject_cmn_swadesh-2	cmn	yellow	黄 huang2	xwaŋ˧˥	
