identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_deu_swadesh-1	deu	freeze	frieren	frieren	
rosettaproject_deu_swadesh-1	deu	fruit	Frucht	fruxt	
rosettaproject_deu_swadesh-1	deu	fruit	Obst	obst	
rosettaproject_deu_swadesh-1	deu	full	voll	foll	
rosettaproject_deu_swadesh-1	deu	give	geben	ɡeben	
rosettaproject_deu_swadesh-1	deu	good	gut	ɡut	
rosettaproject_deu_swadesh-1	deu	grass	Gras	ɡras	
rosettaproject_deu_swadesh-1	deu	green	grün	ɡryn	
rosettaproject_deu_swadesh-1	deu	guts	Eingeweide	aiŋevaide	
rosettaproject_deu_swadesh-1	deu	hair	Haare	haare	
rosettaproject_deu_swadesh-1	deu	hand	Hand	hand	
rosettaproject_deu_swadesh-1	deu	he	er	er	
rosettaproject_deu_swadesh-1	deu	head	Kopf	kopf	
rosettaproject_deu_swadesh-1	deu	hear	hören	høren	
rosettaproject_deu_swadesh-1	deu	heart	Herz	herʦ	
rosettaproject_deu_swadesh-1	deu	heavy	schwer	ʃver	
rosettaproject_deu_swadesh-1	deu	here	hier	hier	
rosettaproject_deu_swadesh-1	deu	hit	schlagen	ʃlaɡen	
rosettaproject_deu_swadesh-1	deu	hold	halten	halten	
rosettaproject_deu_swadesh-1	deu	horn	Horn	horn	
rosettaproject_deu_swadesh-1	deu	how	wie	vie	
rosettaproject_deu_swadesh-1	deu	hunt	jagen	jaɡen	
rosettaproject_deu_swadesh-1	deu	husband	Mann	mann	
rosettaproject_deu_swadesh-1	deu	i	ich	iç	
rosettaproject_deu_swadesh-1	deu	ice	Eis	ais	
rosettaproject_deu_swadesh-1	deu	if	wenn	venn	
rosettaproject_deu_swadesh-1	deu	in	in	in	
rosettaproject_deu_swadesh-1	deu	kill	töten	tøten	
rosettaproject_deu_swadesh-1	deu	knee	Knie	knie	
rosettaproject_deu_swadesh-1	deu	know	wisen	vizen	
rosettaproject_deu_swadesh-1	deu	lake	See	zee	
