identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_akh_swadesh-1	akh	bad	ko	ko	
rosettaproject_akh_swadesh-1	akh	big	anda	anda	
rosettaproject_akh_swadesh-1	akh	big	andá	andá	á
rosettaproject_akh_swadesh-1	akh	blood	kejép	kejép	é
rosettaproject_akh_swadesh-1	akh	blood	keǯep	ked͡ʒep	
rosettaproject_akh_swadesh-1	akh	cut	karun	karun	
rosettaproject_akh_swadesh-1	akh	cut	karún	karún	ú
rosettaproject_akh_swadesh-1	akh	eye	el	el	
rosettaproject_akh_swadesh-1	akh	father	a:b	a:b	
rosettaproject_akh_swadesh-1	akh	father	aːb	aːb	
rosettaproject_akh_swadesh-1	akh	foot	anga	anga	
rosettaproject_akh_swadesh-1	akh	foot	aŋa	aŋa	
rosettaproject_akh_swadesh-1	akh	good	eve	eve	
rosettaproject_akh_swadesh-1	akh	good	evé	evé	é
rosettaproject_akh_swadesh-1	akh	hair	iri	iri	
rosettaproject_akh_swadesh-1	akh	he/she	ngo	ngo	
rosettaproject_akh_swadesh-1	akh	he/she	ŋo	ŋo	
rosettaproject_akh_swadesh-1	akh	head	wendjuba	wendjuba	
rosettaproject_akh_swadesh-1	akh	head	wenǯuba	wend͡ʒuba	
rosettaproject_akh_swadesh-1	akh	hit	luruk	luruk	
rosettaproject_akh_swadesh-1	akh	hit	lurúk	lurúk	ú
rosettaproject_akh_swadesh-1	akh	i	ni	ni	
rosettaproject_akh_swadesh-1	akh	long	chor	chor	
rosettaproject_akh_swadesh-1	akh	long	čor	t͡ʃor	
rosettaproject_akh_swadesh-1	akh	man	ab	ab	
rosettaproject_akh_swadesh-1	akh	moon	ej	ej	
rosettaproject_akh_swadesh-1	akh	moon	eǯ	ed͡ʒ	
rosettaproject_akh_swadesh-1	akh	mother	am	am	
rosettaproject_akh_swadesh-1	akh	mother	anyi	anyi	
rosettaproject_akh_swadesh-1	akh	mother	anǯi	and͡ʒi	
rosettaproject_akh_swadesh-1	akh	name	bi	bi	
rosettaproject_akh_swadesh-1	akh	rain	che	che	
rosettaproject_akh_swadesh-1	akh	rain	če	t͡ʃe	
rosettaproject_akh_swadesh-1	akh	see	-ubuːk	-ubuːk	
rosettaproject_akh_swadesh-1	akh	see	ubu:k	ubu:k	
rosettaproject_akh_swadesh-1	akh	short	hi	hi	
