identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_acr_swadesh-1	acr	all	conjel	conxel	
rosettaproject_acr_swadesh-1	acr	ashes	chaj	ʧax	
rosettaproject_acr_swadesh-1	acr	bark	jomet	xomet	
rosettaproject_acr_swadesh-1	acr	big	nim	nim	
rosettaproject_acr_swadesh-1	acr	bite	raxinic	raʃinic	
rosettaproject_acr_swadesh-1	acr	blood	quiq\uel	kiqʼuel	
rosettaproject_acr_swadesh-1	acr	bone	b\ak	ɓak	
rosettaproject_acr_swadesh-1	acr	breast	tz\um	ʦʼum	
rosettaproject_acr_swadesh-1	acr	burn	c\atic	cʼatic	
rosettaproject_acr_swadesh-1	acr	cloud	sutz\	suʦʼ	
rosettaproject_acr_swadesh-1	acr	come	c\un	cʼun	
rosettaproject_acr_swadesh-1	acr	die	camic	camic	
rosettaproject_acr_swadesh-1	acr	dog	tz\i	ʦʼi	
rosettaproject_acr_swadesh-1	acr	drink	tu\ic	tuʔic	
rosettaproject_acr_swadesh-1	acr	ear	xiquin	ʃikin	
rosettaproject_acr_swadesh-1	acr	earth	uleu	uleu	
rosettaproject_acr_swadesh-1	acr	eat	i\im	iʔim	
rosettaproject_acr_swadesh-1	acr	egg	sakmol	sakmol	
rosettaproject_acr_swadesh-1	acr	eye	wach	waʧ	
rosettaproject_acr_swadesh-1	acr	fat (n.)	manteca	manteca	
rosettaproject_acr_swadesh-1	acr	feather	xic	ʃic	
rosettaproject_acr_swadesh-1	acr	fingernail	rixc\ak	riʃcʼak	
rosettaproject_acr_swadesh-1	acr	fire	\a\	ʔaʔ	
rosettaproject_acr_swadesh-1	acr	fish	car	car	
rosettaproject_acr_swadesh-1	acr	fly (v.)	rupupic	rupupic	
rosettaproject_acr_swadesh-1	acr	foot	akan	akan	
rosettaproject_acr_swadesh-1	acr	give	ya	ja	
rosettaproject_acr_swadesh-1	acr	guts	pam	pam	
rosettaproject_acr_swadesh-1	acr	hair	wi	wi	
rosettaproject_acr_swadesh-1	acr	hand	\ab\	ʔaɓ	
rosettaproject_acr_swadesh-1	acr	head	jolom	xolom	
rosettaproject_acr_swadesh-1	acr	hear	ta	ta	
rosettaproject_acr_swadesh-1	acr	heart	anma	anma	
rosettaproject_acr_swadesh-1	acr	horn	ruca\	rucaʔ	
rosettaproject_acr_swadesh-1	acr	i	yin	jin	
rosettaproject_acr_swadesh-1	acr	kill	camsaj	camsax	
rosettaproject_acr_swadesh-1	acr	knee	ch\ec	ʧʼec	
